EV, LA, Hits, Outs
113, 26, 1, 0
71, 29, 5, 2
90, 42, 0, 47
62, -20, 0, 4
103, -19, 5, 7
48, 45, 0, 1
106, -14, 6, 7
39, -4, 1, 0
83, 39, 3, 15
96, -22, 0, 12
55, -60, 0, 1
41, 42, 0, 1
99, -17, 4, 25
85, 48, 0, 15
57, -14, 0, 2
48, -63, 0, 1
59, 32, 1, 0
92, -20, 2, 35
78, 45, 1, 12
97, 58, 0, 4
50, -17, 1, 0
36, 48, 0, 1
110, -3, 9, 13
69, -4, 0, 10
55, 61, 0, 1
71, 42, 2, 3
84, -19, 3, 25
103, -6, 21, 30
87, -14, 1, 18
45, -11, 0, 1
78, -63, 0, 1
105, 40, 5, 2
64, 2, 0, 5
36, -60, 0, 1
66, 48, 0, 6
85, 61, 0, 12
38, -14, 1, 0
101, 5, 31, 25
54, -70, 1, 1
59, 45, 0, 2
78, 58, 1, 6
91, -3, 14, 29
110, 10, 26, 5
75, -11, 1, 13
94, 2, 23, 24
66, -60, 0, 2
52, 5, 0, 3
84, -6, 3, 25
43, -44, 0, 1
54, 51, 0, 1
73, 64, 0, 2
64, 15, 0, 4
58, -59, 0, 3
77, -46, 0, 5
80, -41, 0, 2
66, 61, 0, 2
98, 13, 48, 16
82, 5, 7, 12
101, 18, 30, 48
54, -57, 0, 2
40, 8, 1, 0
73, -44, 0, 1
72, -40, 0, 8
58, 62, 0, 3
75, 2, 5, 9
94, 15, 49, 23
61, 67, 0, 1
80, 80, 0, 1
52, 18, 0, 1
93, 19, 12, 27
46, -56, 0, 1
65, -43, 0, 2
68, -38, 2, 7
54, 64, 0, 1
73, 77, 0, 2
67, 3, 1, 7
86, 16, 29, 3
70, 8, 5, 11
58, -46, 0, 5
89, 21, 5, 27
42, -54, 1, 1
61, -41, 0, 3
88, 62, 1, 11
79, 13, 11, 10
65, 78, 0, 2
63, 5, 0, 6
82, 18, 23, 1
68, 83, 0, 1
40, 21, 0, 1
53, -40, 0, 1
72, -27, 0, 7
56, -35, 0, 3
116, 16, 1, 0
74, 19, 22, 0
93, 32, 10, 46
46, -43, 0, 2
65, -30, 0, 8
51, 35, 0, 1
49, -38, 0, 1
109, 13, 19, 6
35, 27, 1, 0
68, -25, 0, 16
67, 16, 1, 5
86, 29, 1, 45
70, 21, 14, 1
89, 34, 1, 33
56, 86, 0, 1
42, -41, 0, 1
83, -40, 1, 5
102, -27, 0, 1
41, -37, 0, 1
60, -24, 1, 4
44, -32, 1, 1
63, 18, 2, 3
104, 19, 53, 20
62, 22, 2, 5
95, -30, 0, 4
81, 35, 0, 16
34, -40, 0, 1
53, -27, 0, 2
37, -35, 1, 0
56, -22, 0, 2
97, -21, 4, 14
83, 81, 0, 2
