EV, LA, Hits, Outs
60, -89, 8.0, 45.0
61, -89, 10.0, 47.0
62, -89, 10.0, 60.0
63, -89, 5.0, 49.0
64, -89, 8.0, 57.0
65, -89, 9.0, 52.0
66, -89, 8.0, 45.0
67, -89, 9.0, 46.0
68, -89, 10.0, 49.0
69, -89, 10.0, 48.0
70, -89, 10.0, 42.0
71, -89, 6.0, 46.0
72, -89, 11.0, 54.0
73, -89, 8.0, 53.0
74, -89, 6.0, 47.0
75, -89, 6.0, 60.0
76, -89, 5.0, 52.0
77, -89, 7.0, 59.0
78, -89, 5.0, 51.0
79, -89, 5.0, 48.0
80, -89, 6.0, 61.0
81, -89, 5.0, 47.0
82, -89, 11.0, 53.0
83, -89, 8.0, 47.0
84, -89, 12.0, 54.0
85, -89, 9.0, 49.0
86, -89, 9.0, 48.0
87, -89, 9.0, 43.0
88, -89, 8.0, 44.0
89, -89, 14.0, 48.0
90, -89, 8.0, 45.0
91, -89, 13.0, 43.0
92, -89, 15.0, 57.0
93, -89, 9.0, 44.0
94, -89, 14.0, 47.0
95, -89, 16.0, 40.0
96, -89, 20.0, 50.0
97, -89, 18.0, 43.0
98, -89, 16.0, 35.0
99, -89, 19.0, 46.0
100, -89, 18.0, 42.0
101, -89, 19.0, 47.0
102, -89, 18.0, 38.0
103, -89, 24.0, 43.0
104, -89, 17.0, 37.0
105, -89, 19.0, 45.0
106, -89, 15.0, 40.0
107, -89, 16.0, 49.0
108, -89, 14.0, 42.0
109, -89, 17.0, 46.0
110, -89, 9.0, 42.0
111, -89, 15.0, 49.0
112, -89, 14.0, 47.0
113, -89, 15.0, 47.0
114, -89, 13.0, 44.0
115, -89, 18.0, 45.0
116, -89, 16.0, 37.0
117, -89, 18.0, 43.0
118, -89, 20.0, 48.0
119, -89, 17.0, 40.0
120, -89, 23.0, 55.0
121, -89, 17.0, 44.0
122, -89, 15.0, 37.0
123, -89, 14.0, 40.0
124, -89, 20.0, 48.0
0, -88, 7.0, 48.0
1, -88, 6.0, 46.0
2, -88, 8.0, 51.0
3, -88, 5.0, 45.0
4, -88, 5.0, 46.0
5, -88, 5.0, 51.0
6, -88, 6.0, 57.0
7, -88, 7.0, 53.0
8, -88, 5.0, 56.0
