EV, LA, Hits, Outs
113, 26, 3, 0
44, -74, 0, 2
71, 29, 11, 1
30, -9, 0, 1
90, 42, 0, 34
62, -20, 0, 7
103, -19, 2, 14
106, -14, 8, 9
39, -4, 0, 1
23, -12, 1, 0
83, 39, 0, 24
36, -73, 0, 3
55, -60, 1, 1
96, -22, 0, 12
41, 42, 0, 1
99, -17, 5, 15
85, 48, 1, 17
57, -14, 1, 1
48, -63, 0, 5
92, -20, 9, 30
59, 32, 1, 2
78, 45, 0, 12
97, 58, 0, 5
50, -17, 0, 1
69, -4, 2, 21
110, -3, 9, 10
55, 61, 0, 1
113, 39, 1, 0
66, -73, 1, 1
85, -60, 0, 1
71, 42, 4, 10
84, -19, 3, 22
43, -57, 0, 1
103, -6, 16, 34
87, -14, 3, 19
45, -11, 0, 3
78, -63, 0, 1
105, 40, 8, 9
64, 2, 1, 6
36, -60, 0, 3
108, 45, 1, 3
80, -54, 0, 2
66, 48, 2, 1
85, 61, 1, 12
101, 5, 43, 27
54, -70, 1, 5
73, -57, 2, 0
59, 45, 0, 4
78, 58, 0, 14
105, -68, 0, 1
91, -3, 11, 33
110, 10, 25, 3
75, -11, 0, 9
94, 2, 21, 31
66, -60, 5, 6
52, 5, 0, 1
84, -6, 3, 17
73, 64, 0, 4
105, 53, 0, 2
31, 67, 0, 1
58, -59, 2, 3
77, -46, 1, 7
61, -54, 1, 0
80, -41, 0, 9
66, 61, 0, 6
98, 13, 65, 3
82, 5, 12, 18
101, 18, 27, 52
54, -57, 1, 2
73, -44, 1, 6
40, 8, 1, 0
100, 59, 0, 6
72, -40, 0, 6
58, 62, 0, 3
77, 75, 0, 8
75, 2, 3, 13
94, 15, 36, 10
61, 67, 0, 4
80, 80, 0, 7
33, 5, 0, 1
107, -46, 0, 1
52, 18, 1, 2
93, 19, 23, 27
46, -56, 1, 0
65, -43, 2, 6
68, -38, 1, 7
54, 64, 0, 1
73, 77, 0, 3
67, 3, 0, 4
26, -35, 0, 2
86, 16, 34, 2
58, -46, 1, 4
70, 8, 6, 11
89, 21, 8, 21
42, -54, 1, 0
61, -41, 0, 3
88, 62, 2, 26
47, 24, 0, 1
79, 13, 8, 9
65, 78, 0, 6
63, 5, 1, 4
82, 18, 22, 0
68, 83, 0, 3
95, -43, 0, 1
100, 72, 0, 1
53, -40, 1, 2
72, -27, 0, 12
116, 16, 3, 0
61, 80, 0, 1
88, -46, 2, 2
47, -84, 0, 1
74, 19, 14, 0
33, 18, 0, 1
93, 32, 6, 34
65, -30, 0, 5
49, -38, 0, 2
109, 13, 28, 7
68, -25, 0, 15
95, 78, 0, 3
67, 16, 3, 1
86, 29, 1, 38
39, -83, 0, 1
70, 21, 14, 0
89, 34, 2, 37
56, 86, 0, 1
42, -41, 1, 5
83, -40, 1, 7
102, -27, 1, 4
88, 75, 1, 8
47, 37, 0, 3
41, -37, 1, 0
60, -24, 0, 4
46, 78, 0, 1
63, 18, 0, 1
104, 19, 32, 29
95, -30, 1, 5
81, 35, 1, 23
34, -40, 1, 1
37, -35, 0, 1
56, -22, 0, 4
97, -21, 1, 12
83, 81, 0, 7
74, 32, 5, 9
71, -37, 1, 8
90, -24, 1, 17
62, -86, 1, 0
92, 22, 12, 39
39, -70, 0, 1
111, 35, 1, 0
83, -27, 1, 10
69, 38, 5, 5
41, -24, 1, 0
60, -11, 0, 2
104, 32, 27, 6
57, -80, 0, 2
76, -67, 1, 0
62, 35, 3, 2
81, 48, 1, 12
34, -27, 1, 0
78, -21, 2, 11
97, -8, 8, 36
50, -83, 1, 1
36, -18, 2, 0
96, 33, 12, 43
55, -5, 0, 2
99, 38, 5, 37
71, -24, 1, 7
30, -62, 1, 0
90, -11, 6, 36
57, 41, 0, 1
76, 54, 0, 10
106, -67, 1, 0
92, 35, 6, 45
111, 48, 1, 0
105, -26, 3, 5
64, -64, 1, 2
50, 38, 0, 1
69, 51, 0, 4
108, -21, 3, 7
25, -19, 0, 1
66, -18, 0, 13
85, -5, 5, 18
57, -67, 1, 3
84, 36, 0, 30
103, 49, 0, 6
87, 41, 0, 28
59, -21, 0, 2
78, -8, 2, 27
64, 57, 0, 4
55, 8, 3, 1
96, 46, 0, 21
99, 51, 0, 9
52, -61, 0, 2
38, 41, 1, 0
112, -10, 1, 4
57, 54, 0, 3
76, 67, 0, 7
115, -5, 0, 1
73, -1, 2, 14
73, -2, 1, 13
45, -64, 0, 1
105, -13, 5, 11
64, -51, 4, 5
91, 52, 0, 27
108, -8, 4, 10
22, -48, 0, 1
94, 57, 0, 17
66, -5, 1, 5
85, 8, 14, 25
38, -67, 0, 2
79, -66, 0, 2
43, 11, 1, 2
84, 49, 0, 27
103, 62, 0, 2
101, -48, 1, 0
87, 54, 0, 22
59, -8, 1, 3
100, -7, 13, 40
64, 70, 0, 4
