EV, LA, Hits, Outs
64, -88, 7.0, 51.0
65, -88, 7.0, 62.0
66, -88, 4.0, 48.0
67, -88, 7.0, 47.0
68, -88, 9.0, 66.0
69, -88, 8.0, 64.0
70, -88, 9.0, 61.0
71, -88, 8.0, 42.0
72, -88, 9.0, 51.0
73, -88, 7.0, 48.0
74, -88, 7.0, 48.0
75, -88, 6.0, 44.0
76, -88, 7.0, 56.0
77, -88, 6.0, 49.0
78, -88, 5.0, 53.0
79, -88, 5.0, 52.0
80, -88, 7.0, 55.0
81, -88, 6.0, 49.0
82, -88, 8.0, 50.0
83, -88, 8.0, 46.0
84, -88, 10.0, 56.0
85, -88, 10.0, 63.0
86, -88, 10.0, 47.0
87, -88, 8.0, 56.0
88, -88, 10.0, 42.0
89, -88, 9.0, 50.0
90, -88, 12.0, 56.0
91, -88, 12.0, 48.0
92, -88, 12.0, 52.0
93, -88, 8.0, 43.0
94, -88, 15.0, 48.0
95, -88, 15.0, 41.0
96, -88, 12.0, 39.0
97, -88, 19.0, 53.0
98, -88, 15.0, 42.0
99, -88, 14.0, 39.0
100, -88, 14.0, 41.0
101, -88, 18.0, 49.0
102, -88, 22.0, 36.0
103, -88, 18.0, 48.0
104, -88, 13.0, 37.0
105, -88, 17.0, 44.0
106, -88, 15.0, 41.0
107, -88, 15.0, 45.0
108, -88, 13.0, 37.0
109, -88, 18.0, 43.0
110, -88, 15.0, 38.0
111, -88, 15.0, 37.0
112, -88, 18.0, 37.0
113, -88, 18.0, 42.0
114, -88, 17.0, 35.0
115, -88, 21.0, 42.0
116, -88, 14.0, 37.0
117, -88, 16.0, 40.0
118, -88, 21.0, 46.0
119, -88, 17.0, 44.0
120, -88, 15.0, 35.0
0, -87, 3.0, 54.0
1, -87, 4.0, 51.0
2, -87, 3.0, 48.0
3, -87, 3.0, 55.0
4, -87, 3.0, 51.0
5, -87, 3.0, 53.0
6, -87, 3.0, 52.0
7, -87, 4.0, 51.0
8, -87, 4.0, 60.0
9, -87, 4.0, 61.0
10, -87, 4.0, 62.0
11, -87, 2.0, 61.0
12, -87, 2.0, 49.0
13, -87, 1.0, 55.0
14, -87, 2.0, 59.0
15, -87, 2.0, 55.0
16, -87, 2.0, 52.0
17, -87, 3.0, 51.0
18, -87, 4.0, 54.0
19, -87, 4.0, 49.0
20, -87, 7.0, 59.0
21, -87, 3.0, 49.0
22, -87, 3.0, 53.0
