EV, LA, Hit_Probability
0, -90, 0.09090909090909091
1, -90, 0.05
2, -90, 0.043478260869565216
3, -90, 0.08571428571428572
4, -90, 0.04
5, -90, 0.05
6, -90, 0.037037037037037035
7, -90, 0.041666666666666664
8, -90, 0.1
9, -90, 0.045454545454545456
10, -90, 0.041666666666666664
11, -90, 0.041666666666666664
12, -90, 0.04
13, -90, 0.043478260869565216
14, -90, 0.04
15, -90, 0.04
16, -90, 0.0
17, -90, 0.0
18, -90, 0.0
19, -90, 0.0
20, -90, 0.0
21, -90, 0.0
22, -90, 0.0
23, -90, 0.0
24, -90, 0.0
25, -90, 0.0
26, -90, 0.0
27, -90, 0.0
28, -90, 0.0
29, -90, 0.0
30, -90, 0.0
31, -90, 0.0
32, -90, 0.0
33, -90, 0.0
34, -90, 0.0
35, -90, 0.0
36, -90, 0.0
37, -90, 0.0
38, -90, 0.0
39, -90, 0.0
40, -90, 0.0
41, -90, 0.0
42, -90, 0.06666666666666667
43, -90, 0.0
44, -90, 0.0
45, -90, 0.0
46, -90, 0.0
47, -90, 0.0
48, -90, 0.0
49, -90, 0.0
50, -90, 0.0
51, -90, 0.0
52, -90, 0.034482758620689655
53, -90, 0.03571428571428571
54, -90, 0.0
55, -90, 0.03333333333333333
56, -90, 0.09523809523809523
57, -90, 0.13636363636363635
58, -90, 0.10810810810810811
59, -90, 0.09523809523809523
60, -90, 0.1
61, -90, 0.08333333333333333
62, -90, 0.045454545454545456
63, -90, 0.03571428571428571
64, -90, 0.041666666666666664
65, -90, 0.047619047619047616
66, -90, 0.2
67, -90, 0.1724137931034483
68, -90, 0.16666666666666666
69, -90, 0.17391304347826086
70, -90, 0.2692307692307692
71, -90, 0.2727272727272727
72, -90, 0.1
73, -90, 0.07142857142857142
74, -90, 0.125
75, -90, 0.08333333333333333
76, -90, 0.1
77, -90, 0.125
78, -90, 0.1
79, -90, 0.125
80, -90, 0.0967741935483871
81, -90, 0.07407407407407407
82, -90, 0.08333333333333333
83, -90, 0.1
84, -90, 0.1
85, -90, 0.16
86, -90, 0.13043478260869565
87, -90, 0.13636363636363635
88, -90, 0.14285714285714285
89, -90, 0.18518518518518517
90, -90, 0.045454545454545456
91, -90, 0.13636363636363635
92, -90, 0.09523809523809523
93, -90, 0.12
94, -90, 0.16666666666666666
95, -90, 0.14285714285714285
96, -90, 0.14814814814814814
97, -90, 0.1891891891891892
98, -90, 0.23333333333333334
99, -90, 0.09090909090909091
100, -90, 0.0967741935483871
101, -90, 0.2
102, -90, 0.3235294117647059
103, -90, 0.21739130434782608
104, -90, 0.23529411764705882
105, -90, 0.28125
106, -90, 0.1
107, -90, 0.17391304347826086
108, -90, 0.25806451612903225
109, -90, 0.16666666666666666
110, -90, 0.2
111, -90, 0.18181818181818182
112, -90, 0.2
113, -90, 0.26666666666666666
114, -90, 0.3
115, -90, 0.2857142857142857
116, -90, 0.2916666666666667
117, -90, 0.25925925925925924
118, -90, 0.24
119, -90, 0.13636363636363635
120, -90, 0.25925925925925924
121, -90, 0.2857142857142857
122, -90, 0.2222222222222222
123, -90, 0.24
124, -90, 0.36363636363636365
0, -89, 0.08333333333333333
1, -89, 0.09090909090909091
2, -89, 0.05
3, -89, 0.043478260869565216
4, -89, 0.08571428571428572
5, -89, 0.04
6, -89, 0.05
7, -89, 0.037037037037037035
8, -89, 0.041666666666666664
9, -89, 0.1
10, -89, 0.045454545454545456
11, -89, 0.041666666666666664
12, -89, 0.041666666666666664
13, -89, 0.04
14, -89, 0.043478260869565216
15, -89, 0.04
16, -89, 0.04
17, -89, 0.0
18, -89, 0.0
19, -89, 0.0
20, -89, 0.0
21, -89, 0.0
22, -89, 0.0
23, -89, 0.0
24, -89, 0.0
25, -89, 0.0
26, -89, 0.0
27, -89, 0.0
28, -89, 0.0
29, -89, 0.0
30, -89, 0.0
31, -89, 0.0
32, -89, 0.0
33, -89, 0.0
34, -89, 0.0
35, -89, 0.0
36, -89, 0.0
37, -89, 0.0
38, -89, 0.0
39, -89, 0.0
40, -89, 0.0
41, -89, 0.0
42, -89, 0.0
43, -89, 0.06666666666666667
44, -89, 0.0
45, -89, 0.0
46, -89, 0.0
47, -89, 0.0
48, -89, 0.0
49, -89, 0.07142857142857142
50, -89, 0.03571428571428571
51, -89, 0.041666666666666664
52, -89, 0.03333333333333333
53, -89, 0.03333333333333333
54, -89, 0.037037037037037035
55, -89, 0.05
56, -89, 0.045454545454545456
57, -89, 0.11428571428571428
58, -89, 0.15
59, -89, 0.10344827586206896
60, -89, 0.1
61, -89, 0.15789473684210525
62, -89, 0.043478260869565216
63, -89, 0.047619047619047616
64, -89, 0.045454545454545456
65, -89, 0.16666666666666666
66, -89, 0.13333333333333333
67, -89, 0.16666666666666666
68, -89, 0.18181818181818182
69, -89, 0.24
70, -89, 0.2857142857142857
71, -89, 0.2
72, -89, 0.07142857142857142
73, -89, 0.13043478260869565
74, -89, 0.09090909090909091
75, -89, 0.10344827586206896
76, -89, 0.12
77, -89, 0.09523809523809523
78, -89, 0.125
79, -89, 0.0967741935483871
80, -89, 0.07407407407407407
81, -89, 0.08333333333333333
82, -89, 0.1
83, -89, 0.1
84, -89, 0.16
85, -89, 0.13043478260869565
86, -89, 0.13636363636363635
87, -89, 0.14285714285714285
88, -89, 0.18518518518518517
89, -89, 0.045454545454545456
90, -89, 0.13636363636363635
91, -89, 0.09523809523809523
92, -89, 0.12
93, -89, 0.16666666666666666
94, -89, 0.14285714285714285
95, -89, 0.14814814814814814
96, -89, 0.1891891891891892
97, -89, 0.23333333333333334
98, -89, 0.09090909090909091
99, -89, 0.0967741935483871
100, -89, 0.2
101, -89, 0.3235294117647059
