EV, LA, Hits, Outs
113, 26, 5, 0
71, 29, 11, 2
90, 42, 2, 29
62, -20, 0, 11
103, -19, 3, 9
48, 45, 0, 1
106, -14, 0, 10
39, -4, 0, 2
83, 39, 0, 25
96, -22, 6, 15
55, -60, 0, 2
99, -17, 4, 21
44, 47, 0, 1
85, 48, 0, 14
92, -20, 1, 23
59, 32, 0, 1
78, 45, 1, 17
97, 58, 0, 2
50, -17, 0, 1
69, -4, 0, 10
110, -3, 6, 8
36, 48, 0, 1
66, -73, 0, 1
85, -60, 1, 0
71, 42, 3, 5
30, 4, 1, 2
84, -19, 4, 15
29, 45, 1, 0
103, -6, 14, 36
87, -14, 1, 19
78, -63, 0, 2
45, -11, 0, 1
105, 40, 6, 6
64, 2, 0, 8
77, -59, 0, 1
25, 47, 0, 1
66, 48, 2, 2
85, 61, 0, 7
38, -14, 1, 0
101, 5, 43, 31
54, -70, 0, 2
73, -57, 1, 3
59, 45, 0, 1
78, 58, 0, 10
91, -3, 12, 24
110, 10, 22, 1
75, -11, 1, 17
94, 2, 18, 41
66, -60, 0, 1
52, 5, 0, 2
84, -6, 3, 12
43, -44, 0, 1
54, 51, 0, 1
64, 15, 5, 4
105, 53, 0, 1
77, -46, 1, 6
61, -54, 0, 2
80, -41, 1, 5
66, 61, 0, 5
98, 13, 57, 9
82, 5, 11, 22
101, 18, 37, 37
73, -44, 1, 8
100, 59, 0, 3
72, -40, 1, 2
58, 62, 0, 3
77, 75, 0, 1
75, 2, 1, 12
94, 15, 48, 12
61, 67, 0, 1
80, 80, 0, 2
52, 18, 1, 1
93, 19, 15, 30
46, -56, 0, 1
65, -43, 2, 3
49, -51, 0, 1
68, -38, 0, 7
73, 77, 0, 2
67, 3, 2, 6
86, 16, 25, 0
70, 8, 3, 3
58, -46, 0, 2
89, 21, 6, 34
61, -41, 0, 6
88, 62, 0, 13
47, 24, 0, 1
79, 13, 14, 6
65, 78, 0, 2
63, 5, 1, 2
82, 18, 28, 2
68, 83, 0, 2
72, -27, 2, 15
56, -35, 1, 5
116, 16, 2, 0
88, -46, 0, 1
74, 19, 13, 1
93, 32, 5, 27
46, -43, 0, 1
32, 22, 1, 0
65, -30, 0, 6
51, 35, 0, 1
49, -38, 0, 2
109, 13, 28, 6
68, -25, 0, 7
67, 16, 6, 7
86, 29, 0, 33
70, 21, 14, 1
89, 34, 2, 35
83, -40, 0, 4
102, -27, 0, 2
47, 37, 0, 1
88, 75, 0, 3
60, -24, 1, 2
44, -32, 0, 1
63, 18, 4, 1
104, 19, 46, 29
95, -30, 1, 5
62, 22, 1, 4
81, 35, 1, 14
53, -27, 0, 2
37, -35, 1, 0
56, -22, 0, 2
97, -21, 0, 5
83, 81, 0, 2
74, 32, 5, 12
51, 48, 1, 0
71, -37, 1, 5
90, -24, 0, 17
92, 22, 11, 53
39, -70, 0, 1
111, 35, 3, 0
83, -27, 0, 13
69, 38, 3, 4
41, -24, 1, 0
60, -11, 0, 5
27, 41, 0, 1
44, -19, 0, 1
104, 32, 34, 12
76, -67, 0, 1
62, 35, 2, 3
81, 48, 0, 13
34, -27, 1, 1
37, -22, 0, 1
78, -21, 0, 14
97, -8, 9, 36
96, 33, 13, 51
55, -5, 0, 1
99, 38, 6, 18
71, -24, 0, 8
90, -11, 5, 30
57, 41, 1, 0
76, 54, 0, 13
92, 35, 3, 46
64, -64, 0, 1
69, 51, 1, 7
108, -21, 0, 1
66, -18, 0, 14
85, -5, 4, 18
57, -67, 0, 2
84, 36, 2, 41
43, -2, 0, 1
103, 49, 0, 3
43, -1, 0, 1
87, 41, 0, 27
106, 54, 0, 1
59, -21, 0, 4
78, -8, 5, 22
64, 57, 0, 5
96, 46, 0, 31
99, 51, 0, 9
52, -61, 0, 2
38, 41, 1, 0
112, -10, 1, 2
76, 67, 0, 2
115, -5, 0, 1
87, -67, 1, 0
73, -1, 4, 17
73, -2, 2, 15
105, -13, 3, 12
31, 1, 1, 0
64, -51, 1, 1
91, 52, 0, 22
50, 51, 0, 1
108, -8, 6, 10
94, 57, 0, 19
66, -5, 1, 2
85, 8, 11, 15
79, -66, 0, 1
84, 49, 1, 23
103, 62, 0, 1
82, -61, 0, 1
87, 54, 0, 24
59, -8, 0, 7
100, -7, 4, 42
58, -4, 0, 3
77, 9, 6, 17
61, 1, 0, 1
80, 14, 25, 6
52, -48, 0, 2
112, 3, 4, 1
79, 55, 0, 10
115, 8, 4, 0
82, 60, 0, 8
54, -2, 1, 0
54, -1, 0, 1
73, 11, 4, 11
114, 12, 5, 0
67, -63, 0, 3
86, -50, 0, 1
91, 65, 0, 4
75, 57, 0, 5
94, 70, 0, 1
88, -4, 4, 22
107, 9, 40, 5
79, -53, 1, 0
65, 12, 2, 4
82, -48, 0, 1
68, 17, 8, 5
100, 6, 48, 35
58, 9, 1, 3
77, 22, 23, 4
89, 76, 0, 2
42, 1, 0, 1
61, 14, 1, 1
80, 27, 1, 18
74, -47, 0, 2
93, -34, 1, 6
79, 68, 0, 2
98, 81, 0, 1
63, 60, 0, 3
51, -31, 0, 2
82, 73, 0, 1
54, 11, 1, 2
95, 12, 58, 8
114, 25, 3, 0
67, -50, 0, 3
86, -37, 0, 4
72, 28, 11, 4
70, -45, 0, 3
89, -32, 2, 7
75, 70, 0, 3
88, 9, 20, 18
47, -29, 0, 2
107, 22, 31, 1
65, 25, 5, 0
49, 17, 0, 1
68, 30, 6, 0
40, -32, 1, 1
81, -31, 0, 9
86, 84, 0, 2
70, 76, 0, 2
42, 14, 0, 1
83, 15, 23, 1
102, 28, 53, 11
74, -34, 0, 8
60, 31, 1, 3
93, -21, 2, 20
51, -18, 0, 3
95, 25, 15, 31
53, 28, 1, 0
72, 41, 6, 6
37, 20, 0, 1
56, 33, 0, 5
69, -28, 0, 19
74, 87, 0, 2
113, 15, 6, 5
60, -77, 2, 0
90, 31, 8, 43
62, -31, 0, 9
81, -18, 2, 10
67, 84, 0, 1
70, 89, 0, 1
78, -87, 1, 0
83, 28, 2, 22
102, 41, 1, 13
96, -33, 0, 4
55, -71, 0, 1
99, -28, 0, 7
44, 36, 0, 1
76, -12, 2, 26
92, -31, 0, 8
37, 33, 0, 1
78, 34, 2, 16
97, 47, 0, 11
50, -28, 0, 4
69, -15, 1, 9
55, 50, 0, 2
113, 28, 5, 0
85, -71, 1, 0
71, 31, 8, 5
90, 44, 0, 34
103, -17, 2, 9
106, -12, 6, 14
64, -9, 2, 5
105, 29, 23, 2
96, -20, 5, 13
108, 34, 7, 0
55, -58, 0, 4
99, -15, 7, 21
44, 49, 1, 0
118, -1, 1, 1
85, 50, 0, 24
57, -12, 0, 1
76, 1, 2, 22
59, 34, 0, 2
78, 47, 3, 9
97, 60, 0, 2
91, -14, 3, 30
108, -74, 0, 1
94, -9, 12, 46
27, 1, 0, 1
66, -71, 1, 0
71, 44, 2, 3
43, -55, 1, 0
84, -17, 1, 22
103, -4, 15, 27
87, -12, 6, 20
106, 1, 29, 26
105, 42, 0, 3
