last_name, first_name,player_id,year,pa,walk,k_percent,batting_avg,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Madrigal, Nick,663611,2022,228,14,11.8,.249,.256,85.9,26.6,0,24.6,94.969870795,91.48588483,10.3,44.5
Larnach, Trevor,663616,2022,180,18,31.7,.231,.227,90.1,36.2,11.4,43.8,101.431611321,95.113861143,40.2,41.6
Mountcastle, Ryan,663624,2022,609,43,25.3,.250,.277,91.3,39.5,15,46.3,101.941494208,95.335163391,29.8,56.2
McKenna, Ryan,663630,2022,172,11,32,.237,.210,86.7,37.5,9.6,30.1,97.3643112,92.729450101,35,52.6
Hayes, Ke'Bryan,663647,2022,560,48,21.8,.244,.246,91,30.6,3.9,46.8,102.263213822,95.477046745,20.7,43.3
Tucker, Kyle,663656,2022,609,59,15.6,.257,.262,90,34.4,10.2,42.4,100.332560357,94.468288036,19.9,52.7
Cameron, Daz,663662,2022,70,5,28.6,.219,.223,90.4,43.2,9.1,43.2,100.319888182,94.301869318,30.7,47.7
India, Jonathan,663697,2022,431,31,21.8,.249,.238,85.1,36,4.8,28.8,97.40599669,92.71951917,23.6,41.3
Bart, Joey,663698,2022,291,26,38.5,.215,.210,87.3,32.2,10.1,43,101.289725342,94.721199726,38,47.2
Raleigh, Cal,663728,2022,415,38,29.4,.211,.216,90.9,36,15.4,43.5,101.200073622,95.046335375,32.1,52.6
Fortes, Nick,663743,2022,240,18,18.8,.230,.249,89.3,30.2,7,37.8,99.460571882,93.908283529,22.9,44.7
Grisham, Trent,663757,2022,524,57,28.6,.184,.205,88.3,25.5,8.1,35.5,99.46593125,93.84436934,26.2,38.7
Vierling, Matt,663837,2022,357,23,19.6,.246,.275,91.2,35.2,5,47.1,101.211212846,94.995167231,19.5,44.6
Rivas III, Alfonso,663845,2022,287,29,30.3,.235,.222,86.9,34.7,4.2,35.3,98.449898395,93.317647826,26.2,42
Gonzalez, Romy,663853,2022,109,2,35.8,.238,.228,91.2,29.9,9,49.3,102.563254242,95.828662308,37.9,53.7
Stephenson, Tyler,663886,2022,183,12,25.7,.319,.260,87.1,46.3,6.6,34.7,97.521469508,92.827161901,27,43.6
Williams, Luke,663897,2022,136,9,32.4,.236,.198,83.3,36.1,3.6,22.9,94.44903675,91.478494625,29.9,50.7
Rodgers, Brendan,663898,2022,581,46,17.4,.266,.265,90,31.3,7.2,45.9,101.127645047,94.882864603,22.7,49.4
Lowe, Nathaniel,663993,2022,645,48,22.8,.302,.275,90.2,34.1,9.9,44.8,101.963916216,95.317229707,24.9,52.2
Happ, Ian,664023,2022,641,58,23.2,.271,.239,89.7,29.2,6.5,40.4,100.312408396,94.405566288,27.2,49
Mathias, Mark,664029,2022,91,9,33,.247,.214,90.2,34.6,11.5,46.2,99.592462692,93.998095769,34.6,39.4
France, Ty,664034,2022,613,35,15.3,.274,.262,87.6,34.8,5.4,36.8,99.035163319,93.565264683,19.3,52.5
Lowe, Brandon,664040,2022,266,27,22.9,.221,.237,89.4,35.4,10.3,38.9,99.918656897,94.284977069,33.5,53.3
Bader, Harrison,664056,2022,313,15,19.8,.250,.230,83.4,28.4,3.4,26.3,96.180596034,92.143730991,22.1,48
Fletcher, David,664058,2022,228,7,7,.255,.285,82.1,41.1,0,7.4,91.09124866,89.628919691,12.2,48.4
Haggerty, Sam,664059,2022,201,18,26.4,.256,.230,86,32.5,4,24.6,96.38917,92.207266333,27.9,49.3
Moore, Dylan,664238,2022,255,34,29.4,.224,.202,87.2,39.4,12.9,36.4,98.982847692,93.508799615,27.6,38.7
Garlick, Kyle,664247,2022,162,8,29.6,.233,.227,90.2,36.9,9.7,47.6,101.399865577,95.232580777,35.2,48.7
Lopez, Alejo,664670,2022,156,9,13.5,.262,.249,83.8,37.9,0.8,20.2,94.42221,91.277312397,16.3,50.6
