Pujols, Albert,405395,2019,545,120,75,22,0,23,12.5,7.9,.244,.251,18.2,44.5,5.02,22.5
Cabrera, Miguel,408234,2019,549,139,106,21,0,12,19.7,8.7,.282,.271,24.4,49.6,4.95,23.5
Mathis, Jeff,425772,2019,244,36,25,9,0,2,35.7,6.1,.158,.160,36.7,52.1,4.6,25.7
Choo, Shin-Soo,425783,2019,660,149,92,31,2,24,25,11.8,.265,.263,29.2,42.4,4.35,26.6
Rivera, René,425784,2019,20,4,3,0,0,1,20,15,.235,.218,21.6,42.5,,
Wainwright, Adam,425794,2019,59,8,5,3,0,0,33.9,3.4,.160,.179,33.6,59.5,,24.8
Greinke, Zack,425844,2019,56,14,6,4,1,3,21.4,3.6,.280,.246,26,58.8,,25.4
Molina, Yadier,425877,2019,452,113,79,24,0,10,12.8,5.1,.270,.271,18.9,55.8,4.93,22.7
Canó, Robinson,429664,2019,423,100,59,28,0,13,16.3,5.9,.256,.280,19.7,53.4,4.63,24.6
Encarnación, Edwin,429665,2019,486,102,50,18,0,34,21.2,11.9,.244,.245,25.9,43.5,4.82,24.9
Hamels, Cole,430935,2019,46,6,5,1,0,0,32.6,2.2,.143,.186,29.9,52.7,,23.1
Jones, Adam,430945,2019,528,126,84,25,1,16,19.1,5.9,.260,.257,26.7,54.5,4.48,26.8
Martin, Russell,431145,2019,249,46,35,5,0,6,24.1,12,.220,.217,27,40.3,4.68,26.0
Granderson, Curtis,434158,2019,363,58,28,17,1,12,27,11.3,.183,.214,24.6,39.8,4.38,26.5
Davis, Rajai,434658,2019,26,5,2,2,0,1,19.2,3.8,.200,.284,26.7,59.4,,29.1
Ramirez, Hanley,434670,2019,57,9,6,1,0,2,29.8,14,.184,.207,36.8,46.1,,25.8
Sánchez, Aníbal,434671,2019,56,6,6,0,0,0,42.9,0,.115,.127,37.8,53.3,,
Morales, Kendrys,434778,2019,201,33,28,2,1,2,12.9,12.9,.194,.274,17.9,39.5,5.02,23.5
Kendrick III, Howie,435062,2019,370,115,74,23,1,17,13.2,7.3,.344,.332,17,47.5,4.69,25.3
Wilson, Bobby,435064,2019,47,4,3,1,0,0,23.4,4.3,.091,.116,15.7,51.4,4.98,23.2
Kinsler, Ian,435079,2019,281,56,35,12,0,9,19.2,6.8,.217,.206,19,47.6,4.6,26.2
McCann, Brian,435263,2019,316,69,48,9,0,12,16.8,9.8,.249,.237,19,44,5.03,22.1
Walker, Neil,435522,2019,381,88,60,19,1,8,20.2,11,.261,.267,26.5,46.5,4.58,25.6
Suzuki, Kurt,435559,2019,309,74,46,11,0,17,11.7,6.5,.264,.277,18.7,51.9,4.69,25.2
Desmond, Ian,435622,2019,482,113,58,31,4,20,24.7,7.1,.255,.270,26.2,46,4.4,27.5
Cruz Jr., Nelson,443558,2019,521,141,74,26,0,41,25.1,10.7,.311,.290,32.6,46.2,4.73,25.3
Trumbo, Mark,444432,2019,31,5,2,3,0,0,16.1,6.5,.172,.283,29.9,51.1,,25.2
Peralta, David,444482,2019,423,105,61,29,3,12,20.6,8.3,.275,.246,24.2,50.4,4.37,26.9
Piña, Manny,444489,2019,179,36,21,8,0,7,27.9,8.9,.228,.223,27.2,45.2,4.61,25.4
Jay, Jon,445055,2019,182,44,36,8,0,0,16.5,4.4,.267,.252,15.6,50.4,4.65,24.9
Prado, Martín,445988,2019,260,57,46,9,0,2,15.8,4.6,.233,.253,13.9,43.6,4.65,25.6
Duda, Lucas,446263,2019,119,18,10,4,0,4,26.9,9.2,.171,.222,26.9,44.7,4.84,24.1
Wieters, Matt,446308,2019,183,36,21,4,0,11,25.7,6.6,.214,.217,23.8,44.7,4.81,23.7
Longoria, Evan,446334,2019,508,115,74,19,2,20,22,8.5,.254,.269,25.7,46.8,4.54,26.4
Cozart, Zack,446359,2019,107,12,10,2,0,0,15,4.7,.124,.208,18.3,42.8,4.58,25.9
Rodríguez, Sean,446481,2019,139,25,16,5,0,4,29.5,13.7,.223,.200,34.1,43.7,4.49,26.9
Hill, Rich,448179,2019,20,3,2,1,0,0,45,5,.167,.143,27.8,48.6,,23.3
Reynolds, Mark,448602,2019,162,23,12,7,0,4,35.2,13.6,.170,.166,38.4,44.7,4.71,25.3
Davis, Chris,448801,2019,352,55,34,9,0,12,39.5,11.1,.179,.202,38,40.4,4.76,24.8
Vargas, Jason,450306,2019,45,3,3,0,0,0,48.9,0,.075,.103,24.3,41.6,,
Zobrist, Ben,450314,2019,176,39,33,5,0,1,13.6,13.1,.260,.244,15.7,34.9,4.34,26.7
Fowler, Dexter,451594,2019,574,116,72,24,1,19,24.7,12.9,.238,.250,27,42.9,4.29,27.7
Flowers, Tyler,452095,2019,310,62,37,11,3,11,33.9,10,.229,.196,36.7,47,4.6,25.1
Pence, Hunter,452254,2019,316,85,49,17,1,18,21.8,8.2,.297,.282,31.5,51.3,4.18,28.6
Lester, Jon,452657,2019,53,9,6,2,0,1,37.7,9.4,.188,.147,30,36.7,,22.0
Cabrera, Asdrúbal,452678,2019,514,116,72,25,1,18,20,11.1,.260,.238,20.6,45.5,4.68,25.4
Tulowitzki, Troy,453064,2019,13,2,0,1,0,1,30.8,15.4,.182,.191,23.3,49.2,,
Scherzer, Max,453286,2019,61,10,10,0,0,0,44.3,0,.182,.152,33.3,51.8,,24.4
Arrieta, Jake,453562,2019,50,7,6,1,0,0,38,2,.156,.203,35.4,44.1,,24.3
Blackmon, Charlie,453568,2019,634,182,101,42,7,32,16.4,6.3,.314,.295,19.5,49.9,4.35,26.8
Frazier, Todd,453943,2019,499,112,70,19,2,21,21.2,8,.251,.234,25.5,42.9,4.57,25.3
Iannetta, Chris,455104,2019,164,32,16,10,0,6,32.9,11,.222,.229,34.6,43,4.69,24.8
Maldonado, Martín,455117,2019,374,71,40,19,0,12,23,8.6,.213,.215,24.4,45.6,4.86,24.2
Chirinos, Robinson,455139,2019,437,87,47,22,1,17,28.6,11.7,.238,.214,33.7,47.1,4.69,25.2
Markakis, Nick,455976,2019,469,118,82,25,2,9,12.6,10,.285,.298,13.3,41.8,4.43,26.1
Pedroia, Dustin,456030,2019,21,2,2,0,0,0,9.5,4.8,.100,.179,11.8,44.2,,25.0
Castillo, Welington,456078,2019,251,48,24,12,0,12,29.5,6.4,.209,.218,28.7,43.6,4.93,23.8
