Pujols, Albert,405395,2020,163,34,20,8,0,6,15.3,5.5,.224,.248,22.2,49.2,,22.1
Cabrera, Miguel,408234,2020,231,51,37,4,0,10,22.1,10.4,.250,.288,31.6,47.7,,23.1
Mathis, Jeff,425772,2020,68,10,5,1,1,3,35.3,7.4,.161,.204,36.3,46.3,,25.4
Choo, Shin-Soo,425783,2020,127,26,18,3,0,5,26,10.2,.236,.254,32.4,40.2,4.48,25.9
Molina, Yadier,425877,2020,156,38,32,2,0,4,13.5,3.8,.262,.254,23.8,55.1,5.02,23.1
Canó, Robinson,429664,2020,182,54,35,9,0,10,13.2,4.9,.316,.297,19.8,57.5,4.66,24.9
Encarnación, Edwin,429665,2020,181,25,10,5,0,10,29.8,8.8,.157,.161,32.6,45.8,4.78,25.3
Kendrick III, Howie,435062,2020,100,25,19,4,0,2,17,7,.275,.282,20.7,50.3,4.86,24.9
Walker, Neil,435522,2020,41,9,6,3,0,0,31.7,2.4,.231,.234,28.2,45.3,,24.9
Suzuki, Kurt,435559,2020,129,30,20,8,0,2,14.7,8.5,.270,.243,16.9,48.8,,24.3
Cruz Jr., Nelson,443558,2020,214,56,34,6,0,16,27.1,11.7,.303,.269,34.2,47.6,4.73,25.1
Peralta, David,444482,2020,218,61,45,10,1,5,20.6,6,.300,.260,21.1,46.6,4.38,27.1
Piña, Manny,444489,2020,45,9,6,1,0,2,24.4,6.7,.231,.286,27.6,42.2,,
Jay, Jon,445055,2020,57,8,6,1,0,1,21.1,5.3,.160,.217,21.6,49,,25.5
Wieters, Matt,446308,2020,41,7,6,1,0,0,24.4,7.3,.200,.247,18.8,46.2,,23.7
Longoria, Evan,446334,2020,209,49,31,10,1,7,18.7,5.3,.254,.282,21,45,4.6,26.6
Rodríguez, Sean,446481,2020,13,2,2,0,0,0,46.2,0,.154,.121,44,50,,
Davis, Chris,448801,2020,55,6,3,3,0,0,30.9,5.5,.115,.143,36.8,53.4,,24.0
Fowler, Dexter,451594,2020,101,21,15,2,0,4,27.7,9.9,.233,.214,31.7,45.5,,26.8
Flowers, Tyler,452095,2020,80,15,8,6,0,1,42.5,10,.217,.189,36.5,45.1,,24.2
Pence, Hunter,452254,2020,56,5,2,0,1,2,26.8,5.4,.096,.237,32.1,53.8,4.46,27.8
Cabrera, Asdrúbal,452678,2020,213,46,26,9,3,8,18.8,8.9,.242,.243,20.5,46.1,4.82,24.9
Blackmon, Charlie,453568,2020,247,67,48,12,1,6,17.8,7.7,.303,.276,23.3,50.2,4.42,26.9
Frazier, Todd,453943,2020,172,37,23,9,1,4,24.4,6.4,.236,.225,26.9,43.6,4.8,24.2
Maldonado, Martín,455117,2020,165,29,19,4,0,6,30.9,16.4,.215,.202,29.1,42.6,,23.6
Chirinos, Robinson,455139,2020,82,12,8,3,0,1,25.6,7.3,.162,.168,31.5,47.8,5.01,23.3
Markakis, Nick,455976,2020,141,33,17,15,0,1,16.3,7.1,.254,.276,12.7,42.9,4.49,26.4
Kratz, Erik,456124,2020,30,9,7,2,0,0,20,6.7,.321,.272,26.7,50.8,,23.8
Cain, Lorenzo,456715,2020,21,6,5,1,0,0,9.5,14.3,.333,.379,22.2,37,,26.4
Solano, Donovan,456781,2020,203,62,43,15,1,3,19.2,4.9,.326,.278,22,51.9,4.46,26.6
McCutchen, Andrew,457705,2020,241,55,36,9,0,10,19.9,9.1,.253,.276,22,40.6,4.45,27.5
Upton, Justin,457708,2020,166,30,16,5,0,9,25.9,6.6,.204,.228,29.9,43.7,4.61,26.9
Maybin, Cameron,457727,2020,101,23,13,8,1,1,24.8,6.9,.247,.241,31.3,45,4.39,27.6
Turner, Justin,457759,2020,175,46,32,9,1,4,14.9,10.3,.307,.298,20.5,42.9,4.75,25.7
Bruce, Jay,457803,2020,103,19,7,4,2,6,23.3,6.8,.198,.237,28.8,53.8,4.63,24.9
Votto, Joey,458015,2020,223,42,23,8,0,11,19.3,16.6,.226,.253,22.5,36.2,4.7,25.3
Gardner, Brett,458731,2020,158,29,18,5,1,5,22.2,16.5,.223,.226,24.2,37.4,4.16,28.2
Joyce, Matt,459964,2020,148,32,26,4,0,2,27.7,13.5,.252,.227,32.7,43.7,4.61,25.6
Braun, Ryan,460075,2020,141,30,14,7,1,8,19.1,5,.233,.274,28.8,52.4,4.64,26.1
Butera, Drew,460077,2020,43,6,4,2,0,0,25.6,4.7,.154,.122,27.2,49.7,,24.8
Gordon, Alex,460086,2020,184,34,26,4,0,4,20.1,9.8,.209,.230,22.5,47.2,4.74,25.0
Kemp, Matt,461314,2020,132,28,19,3,0,6,31.1,11.4,.239,.226,36.3,43.9,4.68,25.8
Andrus, Elvis,462101,2020,111,20,12,5,0,3,13.5,7.2,.194,.234,19.5,46.1,4.47,26.4
Cervelli, Francisco,465041,2020,62,13,8,2,0,3,22.6,12.9,.245,.248,29.7,41.4,,24.5
Sandoval, Pablo,467055,2020,94,18,16,1,0,1,20.2,8.5,.214,.236,30.5,53.5,4.73,24.0
Ramos, Wilson,467092,2020,155,34,23,6,0,5,20,6.5,.239,.247,25.9,54.8,5,23.3
Santana, Carlos,467793,2020,255,41,26,7,0,8,16.9,18.4,.199,.251,20.6,36.3,,25.6
Mercer, Jordy,474568,2020,22,4,4,0,0,0,9.1,9.1,.200,.223,19.4,36.7,,26.5
Belt, Brandon,474832,2020,179,46,23,13,1,9,20.1,16.8,.309,.287,23.3,43.1,4.56,25.2
Smoak, Justin,475253,2020,132,21,9,7,0,5,31.8,7.6,.176,.187,31.4,43.1,,23.1
