last_name, first_name,player_id,year,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,xba,whiff_percent,swing_percent,hp_to_1b,sprint_speed
Nola, Austin,543592,2023,154,19,15,3,0,1,20.1,11.7,.146,.200,15.3,39.3,4.77,26.2
Rendon, Anthony,543685,2023,183,35,27,6,0,2,14.8,13.7,.236,.264,17.9,39.6,4.62,26.5
Semien, Marcus,543760,2023,753,185,112,40,4,29,14.6,9.6,.276,.262,18,47.1,4.42,28.7
Springer III, George,543807,2023,683,158,111,25,1,21,18.3,8.8,.258,.264,22.3,49.3,4.41,27.8
Vázquez, Christian,543877,2023,355,73,54,13,0,6,23.1,7,.223,.226,26.2,48.7,4.78,25.0
Wong, Kolten,543939,2023,250,41,31,6,0,4,21.2,7.2,.183,.213,21.4,47.9,4.44,26.7
Vargas, Ildemaro,545121,2023,286,66,47,13,2,4,7,6.6,.252,.265,12.1,45.9,4.44,27.0
Grichuk, Randal,545341,2023,471,116,67,31,2,16,20.4,6.2,.267,.263,26.7,50.1,4.59,27.4
Marisnick, Jake,545350,2023,83,18,11,3,2,2,25.3,3.6,.237,.226,27.2,56.1,4.38,28.8
Trout, Mike,545361,2023,362,81,48,14,1,18,28.7,12.4,.263,.275,29.3,44.4,4.32,29.5
Harper, Bryce,547180,2023,546,134,83,29,1,21,21.8,14.7,.293,.290,33.2,51.4,4.42,27.6
Pérez, Roberto,547379,2023,17,2,2,0,0,0,35.3,11.8,.133,.209,29.4,44.2,,
Abreu, José,547989,2023,594,128,86,23,1,18,21.9,7.1,.237,.248,26.4,50.1,4.76,25.5
Díaz, Elias,553869,2023,526,130,90,25,1,14,22.4,6.5,.267,.245,28.4,54.8,4.8,25.0
Narváez, Omar,553882,2023,146,27,20,5,0,2,18.5,9.6,.211,.252,16.6,46,,24.4
Suárez, Eugenio,553993,2023,694,139,88,29,0,22,30.8,10.1,.232,.223,32.8,44.5,4.71,26.4
Urshela, Gio,570482,2023,228,64,53,8,1,2,15.8,4.4,.299,.259,18.8,54.8,4.44,26.2
Schoop, Jonathan,570731,2023,151,29,21,8,0,0,24.5,8.6,.213,.230,29.2,52.6,4.68,26.9
Arenado, Nolan,571448,2023,612,149,95,26,2,26,16.5,6.7,.266,.266,20.2,48.5,4.77,24.9
Barnhart, Tucker,571466,2023,123,22,18,3,0,1,34.1,9.8,.202,.177,24.9,47.1,5,23.2
Farmer, Kyle,571657,2023,369,86,59,14,2,11,23.3,6.2,.256,.252,23.2,47.7,4.58,26.5
Haniger, Mitch,571745,2023,229,44,24,13,1,6,28.4,6.6,.209,.242,27.8,45.8,4.59,26.7
Hernández, Enrique,571771,2023,508,110,76,23,0,11,19.1,6.7,.237,.224,23.6,46.7,4.59,26.9
Lamb, Jake,571875,2023,54,11,8,1,0,2,27.8,5.6,.216,.226,33.1,51.1,,25.1
Maile, Luke,571912,2023,199,42,26,10,0,6,24.6,7,.235,.234,25.7,44.6,4.67,26.0
Muncy, Max,571970,2023,579,102,48,17,1,36,26.4,14.7,.212,.235,29.6,39.3,4.51,26.9
Myers, Wil,571976,2023,141,24,18,3,0,3,34,8.5,.189,.189,36.8,43.3,4.57,28.0
Owings, Chris,572008,2023,25,4,4,0,0,0,48,0,.160,.135,35.1,60,,26.8
Pollock, AJ,572041,2023,144,22,13,4,0,5,22.2,6.3,.165,.201,25.8,51.5,4.34,28.8
Singleton, Jon,572138,2023,105,15,10,3,0,2,21.9,12.4,.165,.216,22.3,42.4,4.57,26.0
Taylor, Michael A.,572191,2023,388,78,42,14,1,21,33.5,6.7,.220,.222,33.6,49,4.27,28.7
Thompson, Trayce,572204,2023,179,25,17,2,0,6,43,13.4,.163,.165,43.3,39.9,4.56,27.3
Voit III, Luke,572228,2023,74,15,12,3,0,0,36.5,5.4,.221,.229,40.7,49.3,,24.9
Walker, Christian,572233,2023,661,150,79,36,2,33,19.2,9.4,.258,.251,26.4,48.6,4.72,26.4
Zunino, Mike,572287,2023,140,22,12,7,0,3,43.6,10.7,.177,.157,42.8,46.7,4.75,26.0
Carpenter, Matt,572761,2023,237,33,16,12,0,5,28.3,17.3,.176,.173,28.3,40.4,4.63,25.3
Dickerson, Corey,572816,2023,152,36,26,7,1,2,18.4,4.6,.250,.256,22.4,60.4,4.38,26.6
Ruf, Darin,573131,2023,57,11,8,3,0,0,28.1,14,.224,.258,26.6,35.6,,25.2
Yastrzemski, Mike,573262,2023,381,77,38,23,1,15,26,11.8,.233,.232,23.6,41.2,4.37,27.0
Contreras, Willson,575929,2023,495,113,66,27,0,20,22.4,10.3,.264,.279,29,48.5,4.54,26.7
Querecuto, Juniel,578570,2023,21,2,1,1,0,0,28.6,4.8,.100,.197,32.4,46.8,,26.8
Bryant, Kris,592178,2023,335,70,50,10,0,10,20.3,8.7,.233,.245,25,45.9,4.59,26.4
Canha, Mark,592192,2023,507,114,77,25,1,11,15.6,9.7,.262,.248,18.3,41.6,4.44,27.8
Casali, Curt,592200,2023,96,14,12,2,0,0,24,11.5,.175,.207,24.7,45.8,,23.8
Castellanos, Nick,592206,2023,671,170,102,37,2,29,27.6,5.4,.272,.258,35.4,56.2,4.52,27.2
Drury, Brandon,592273,2023,523,127,68,30,3,26,26,4.8,.262,.252,30.2,51.6,4.56,26.9
Gamel, Ben,592325,2023,15,3,2,1,0,0,13.3,0,.200,.205,18.5,55.1,,27.6
Judge, Aaron,592450,2023,458,98,45,16,0,37,28.4,19.2,.267,.289,36.6,41.3,4.79,26.7
Machado, Manny,592518,2023,601,140,89,21,0,30,18.1,8.3,.258,.254,23.9,49.3,4.67,26.3
Pederson, Joc,592626,2023,425,84,52,14,3,15,20.9,13.4,.235,.264,24.6,45.2,4.52,26.4
Ramos, Henry,592656,2023,86,18,14,3,1,0,24.4,12.8,.243,.228,29.1,47.6,,27.0
Realmuto, J.T.,592663,2023,540,123,70,28,5,20,25.6,6.5,.252,.254,26.2,50.5,4.36,28.6
Renfroe, Hunter,592669,2023,548,116,65,31,0,20,22.8,8,.233,.225,26.4,50.8,4.65,26.8
Rosario, Eddie,592696,2023,516,122,74,24,3,21,23.6,6.6,.255,.254,29.7,57.4,4.3,28.0
Yelich, Christian,592885,2023,632,153,99,34,1,19,22.2,12.3,.278,.284,26.8,45,4.35,28.1
Merrifield, Whit,593160,2023,592,149,111,27,0,11,17.1,6.1,.272,.242,19.5,51.1,4.3,28.8
Bogaerts, Xander,593428,2023,665,170,118,31,2,19,16.5,8.4,.285,.255,20.4,42.6,4.38,27.6
Alberto, Hanser,593643,2023,90,18,10,5,0,3,14.4,4.4,.220,.241,19.8,66.7,4.79,25.2
Polanco, Jorge,593871,2023,343,77,45,18,0,14,25.7,10.5,.255,.251,24.9,46.4,4.34,27.6
Calhoun, Kole,594777,2023,174,34,21,7,0,6,21.3,7.5,.217,.235,22.9,48.2,4.76,25.0
Duvall, Adam,594807,2023,353,79,32,24,2,21,31.2,6.2,.247,.210,31,48.3,4.52,27.6
Kiermaier, Kevin,595281,2023,408,98,63,21,6,8,21.1,7.1,.265,.259,30.2,49.6,4.22,28.8
Wallach, Chad,595453,2023,172,31,18,5,1,7,33.1,7.6,.197,.212,34.8,50,5.09,24.3
Alfaro, Jorge,595751,2023,52,7,2,4,0,1,28.8,3.8,.146,.209,31.5,61.7,4.45,28.5
Profar, Jurickson,595777,2023,521,111,73,27,2,9,17.3,9.6,.242,.247,20,47.2,4.61,25.6
Báez, Javier,595879,2023,547,113,82,18,4,9,22.9,4.4,.222,.234,32.6,54.8,4.4,28.1
Cave, Jake,595909,2023,203,39,25,8,1,5,27.1,7.4,.212,.203,26.7,48.8,4.39,27.6
Gallagher, Cam,595956,2023,149,18,12,6,0,0,30.9,2.7,.126,.154,22.3,51.5,4.86,25.4
Hedges, Austin,595978,2023,212,34,28,5,0,1,22.2,5.2,.184,.215,28,52.1,5.03,24.5
Lindor, Francisco,596019,2023,687,153,87,33,2,31,19.9,9.6,.254,.255,22.8,48,4.35,28.1
Odor, Rougned,596059,2023,157,28,15,9,0,4,23.6,10.8,.203,.241,27.1,48.5,4.41,26.8
Slater, Austin,596103,2023,207,50,36,9,0,5,28,9.7,.270,.255,29.5,42.3,4.51,27.7
Story, Trevor,596115,2023,168,32,20,9,0,3,32.7,5.4,.203,.210,31.7,50.8,4.32,28.8
Stubbs, Garrett,596117,2023,125,23,17,4,1,1,23.2,7.2,.204,.161,22.4,46.8,4.36,28.1
Vogelbach, Daniel,596129,2023,319,64,43,8,0,13,25.4,13.2,.233,.229,21.6,36,4.93,23.6
Sánchez, Gary,596142,2023,267,52,24,9,0,19,25.1,7.9,.217,.233,27.6,41.8,4.89,24.9
Kepler, Max,596146,2023,491,114,66,22,2,24,21.6,9.2,.260,.271,19.8,47.5,4.35,27.4
Choi, Ji Man,596847,2023,117,17,6,5,0,6,29.9,8.5,.163,.237,30.8,46.4,4.63,24.9
Bradley Jr., Jackie,598265,2023,113,14,8,5,0,1,25.7,4.4,.133,.187,32.6,53.4,4.38,27.1
Motter, Taylor,600301,2023,82,13,10,3,0,0,37.8,6.1,.171,.186,29,50,4.71,26.5
La Stella, Tommy,600303,2023,24,4,3,1,0,0,20.8,12.5,.190,.184,25,38.5,,24.1
Candelario, Jeimer,600869,2023,576,127,63,39,3,22,22,9.2,.251,.236,24.2,47.4,4.45,27.5
Daza, Yonathan,602074,2023,80,20,14,6,0,0,16.3,3.8,.270,.230,19.7,57.1,4.44,27.4
Urías, Ramón,602104,2023,396,95,66,22,3,4,25.5,6.8,.264,.226,28.7,49.1,4.62,26.7
Ahmed, Nick,605113,2023,210,42,29,10,1,2,24.8,5.7,.212,.226,26.9,50.4,4.44,28.1
Anderson, Brian,605119,2023,361,72,48,12,3,9,29.9,10,.226,.231,33.3,48.9,4.63,26.4
Barnes, Austin,605131,2023,200,32,25,5,0,2,21.5,8.5,.180,.214,22.2,44,4.68,26.5
Bell, Josh,605137,2023,617,135,85,28,0,22,21.7,10.2,.247,.263,25.8,47.7,4.69,25.9
Betts, Mookie,605141,2023,693,179,99,40,1,39,15.4,13.9,.307,.294,16.7,38.1,4.47,27.2
Caratini, Victor,605170,2023,226,52,41,4,0,7,19.9,8.4,.259,.258,21.1,45.3,4.83,25.0
Davis, J.D.,605204,2023,546,119,77,23,1,18,27.8,9.5,.248,.244,34,53.1,4.8,25.8
Martini, Nick,605361,2023,79,19,9,3,1,6,19,6.3,.264,.257,18.1,47.5,,27.2
Castro, Harold,605612,2023,270,65,51,13,0,1,24.4,3.3,.252,.242,28.6,56.3,4.44,26.5
Arcia, Orlando,606115,2023,533,129,87,25,0,17,19.1,7.3,.264,.247,24.3,46.2,4.67,25.9
Tapia, Raimel,606132,2023,169,35,27,4,1,3,23.7,10.1,.236,.224,28.7,49.5,4.26,28.7
Hernández, Teoscar,606192,2023,678,161,104,29,2,26,31.1,5.6,.258,.258,35.8,53.6,4.33,28.6
Marte, Ketel,606466,2023,650,157,97,26,9,25,16.8,10.9,.276,.266,20.5,45.5,4.37,27.7
Haase, Eric,606992,2023,293,55,42,8,1,4,27.6,5.8,.201,.217,32.6,54,4.53,28.0
Nimmo, Brandon,607043,2023,682,162,102,30,6,24,21.4,10.9,.274,.261,22,42.4,4.27,28.0
Peterson, Jace,607054,2023,430,79,59,10,4,6,23.5,10.9,.211,.216,24.6,42.2,4.33,28.0
Turner, Trea,607208,2023,691,170,104,35,5,26,21.7,6.5,.266,.266,29.6,53.1,4.14,30.3
Beaty, Matt,607461,2023,72,14,10,4,0,0,19.4,8.3,.230,.198,21.2,48.7,4.65,25.5
Pillar, Kevin,607680,2023,206,45,26,10,0,9,24.3,2.9,.228,.255,26.3,56.3,4.42,28.2
Stallings, Jacob,607732,2023,276,46,29,14,0,3,24.3,9.8,.191,.193,22.6,40.9,5.07,23.6
Ramírez, José,608070,2023,691,172,107,36,5,24,10.6,10.6,.282,.299,15.6,46.6,4.38,27.8
Bregman, Alex,608324,2023,724,163,106,28,4,25,12,12.7,.262,.266,14.1,38.7,4.57,26.3
Gallo, Joey,608336,2023,332,50,19,9,1,21,42.8,14.5,.177,.149,44.3,47.1,4.69,26.6
Kelly, Carson,608348,2023,151,28,21,5,0,2,26.5,9.3,.206,.185,30.2,45.6,4.79,25.7
Seager, Corey,608369,2023,536,156,81,42,0,33,16.4,9.1,.327,.314,25,55.1,4.67,26.2
Winker, Jesse,608385,2023,197,33,27,5,0,1,25.9,13.2,.199,.204,25.1,42.6,5.02,23.5
Murphy, Tom,608596,2023,159,42,22,12,0,8,27.7,6.3,.290,.261,30.4,52.1,4.76,26.0
Jankowski, Travis,608671,2023,287,65,51,12,1,1,14.6,12.2,.263,.254,14.1,38.2,4.24,29.0
Refsnyder, Rob,608701,2023,243,50,39,9,1,1,19.3,13.6,.248,.261,23.1,40.1,4.47,27.1
Meneses, Joey,608841,2023,657,168,118,36,1,13,19.8,5.8,.275,.247,23.6,47.6,4.77,25.6
Andujar, Miguel,609280,2023,90,21,10,7,0,4,14.4,6.7,.250,.264,21.6,51.1,4.5,27.7
Vosler, Jason,613564,2023,65,10,4,2,1,3,38.5,4.6,.161,.151,37.7,50.2,,26.0
Cordero, Franchy,614173,2023,71,13,5,2,0,6,35.2,2.8,.188,.217,38.1,50.4,4.44,27.4
Reyes, Franmil,614177,2023,65,11,9,0,0,2,36.9,6.2,.186,.176,35.2,48.5,4.77,26.5
Torrens, Luis,620443,2023,30,7,4,3,0,0,30,3.3,.250,.237,26.6,50.8,,26.3
Swanson, Dansby,621020,2023,638,138,88,25,3,22,24.1,10.3,.244,.255,28.7,47.3,4.29,28.4
Newman, Kevin,621028,2023,253,57,38,16,0,3,13.4,6.7,.253,.272,14.8,46.6,4.42,28.0
Taylor, Chris,621035,2023,384,80,49,15,1,15,32.6,10.7,.237,.222,35.8,47.6,4.34,28.3
Correa, Carlos,621043,2023,580,118,69,29,2,18,22.6,10.2,.230,.253,25.1,43.6,4.61,26.6
Phillips, Brett,621433,2023,71,11,7,1,0,3,50.7,11.3,.175,.149,47.1,47,,28.1
Taylor, Tyrone,621438,2023,243,54,26,17,1,10,22.6,3.3,.234,.246,24.9,51.9,4.4,28.8
Buxton, Byron,621439,2023,347,63,28,17,1,17,31.4,10.1,.207,.212,30.6,50,4.17,29.3
Rios, Edwin,621458,2023,34,2,0,1,0,1,47.1,14.7,.071,.154,38.9,47.1,,
Stewart, DJ,621466,2023,185,39,19,9,0,11,30.3,8.1,.244,.232,35.8,50.8,4.54,26.3
Ward, Taylor,621493,2023,409,90,58,18,0,14,19.6,9.5,.253,.254,21.1,44.3,4.49,28.0
Nido, Tomás,621512,2023,61,7,7,0,0,0,29.5,3.3,.125,.156,35,62.1,4.9,24.8
Bemboom, Anthony,621532,2023,13,2,2,0,0,0,15.4,15.4,.182,.125,11.8,40.5,,25.8
Remillard, Zach,621545,2023,160,37,29,7,0,1,30,5,.252,.200,33.1,47.2,4.47,28.4
Wisdom, Patrick,621550,2023,302,55,23,8,1,23,36.8,9.9,.205,.218,33.8,46.7,4.48,27.7
Wendle, Joey,621563,2023,318,63,42,16,3,2,21.1,4.1,.212,.233,25,47.7,4.28,27.8
Olson, Matt,621566,2023,720,172,88,27,3,54,23.2,14.4,.283,.264,28.4,46.8,4.64,26.2
Duffy, Matt,622110,2023,209,48,38,8,0,2,18.7,5.7,.251,.269,23,48.1,4.6,27.0
Margot, Manuel,622534,2023,336,82,56,21,1,4,16.4,5.4,.264,.262,24.2,50.5,4.31,28.3
Reyes, Pablo,622569,2023,185,48,37,9,0,2,11.4,7.6,.287,.265,14.9,41.7,4.38,27.9
Camargo, Johan,622666,2023,20,4,4,0,0,0,20,5,.222,.357,29.3,50.6,,24.2
Mateo, Jorge,622761,2023,350,69,46,14,2,7,23.4,6.3,.217,.240,27.8,50.3,4.2,30.1
Heineman, Tyler,623168,2023,47,9,7,1,1,0,17,17,.237,.254,20,47,,25.7
Velazquez, Andrew,623205,2023,94,14,9,3,0,2,31.9,10.6,.173,.146,34,55.8,,28.4
Lester, Josh,623507,2023,23,4,4,0,0,0,30.4,4.3,.182,.199,30.4,50,,25.9
Ramírez, Harold,623912,2023,434,125,92,19,2,12,18.2,5.1,.313,.271,28.1,56.5,4.36,27.8
Santander, Anthony,623993,2023,656,152,82,41,1,28,23.2,8.4,.257,.237,23.5,49,4.65,26.7
Alonso, Pete,624413,2023,658,123,54,21,2,46,22.9,9.9,.217,.246,26.2,43.7,4.64,26.0
Arroyo, Christian,624414,2023,206,47,28,16,0,3,21.8,3.4,.241,.236,25.3,59.7,4.43,27.7
Biggio, Cavan,624415,2023,338,68,47,12,0,9,26,11.8,.235,.226,23.8,39.7,4.4,28.3
Conforto, Michael,624424,2023,470,97,68,14,0,15,22.6,11.3,.239,.245,24.9,45.3,4.62,26.1
