last_name, first_name,player_id,year,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,xba,whiff_percent,swing_percent,hp_to_1b,sprint_speed
Wilson, Weston,642215,2023,22,5,4,0,0,1,22.7,27.3,.313,.284,29.7,38.5,,27.2
Mejía, Francisco,642336,2023,160,34,18,11,0,5,23.8,3.8,.227,.204,22.1,59.5,4.45,26.3
Siri, Jose,642350,2023,364,75,35,13,2,25,35.7,5.5,.222,.212,40.1,53,4.16,29.7
Rosario, Amed,642708,2023,545,134,95,25,8,6,18.2,5.3,.263,.271,23.1,53.4,4.23,29.4
Adames, Willy,642715,2023,638,120,65,29,2,24,25.9,11.1,.217,.240,31,50,4.43,27.6
Estrada, Thairo,642731,2023,530,134,92,26,2,14,22.6,4.2,.271,.248,21.1,51.7,4.33,28.1
Wynns, Austin,642851,2023,145,27,20,6,0,1,26.9,6.2,.208,.183,27.8,48.2,4.89,24.7
Benintendi, Andrew,643217,2023,621,147,106,34,2,5,14.3,8.4,.262,.270,19.3,49,4.43,27.3
Cooper, Garrett,643265,2023,457,106,70,18,1,17,28.9,6.8,.251,.252,30.7,52.4,4.64,26.3
Dubón, Mauricio,643289,2023,492,130,91,26,3,10,14.2,3.9,.278,.275,17.5,58.6,4.26,28.1
Jansen, Danny,643376,2023,301,61,29,15,0,17,20.6,7.6,.228,.219,22.9,46.8,4.57,27.1
Kemp, Tony,643393,2023,419,75,54,13,3,5,9.5,10.5,.209,.241,14.5,46,4.39,26.2
Kiner-Falefa, Isiah,643396,2023,361,79,60,12,1,6,19.4,7.8,.242,.254,19.6,44.9,4.37,27.7
McNeil, Jeff,643446,2023,648,158,119,25,4,10,10,6,.270,.251,13.4,53,4.15,27.4
Tauchman, Mike,643565,2023,401,85,59,18,0,8,21.4,14,.252,.267,24.5,41.8,4.39,27.3
Chang, Yu,644374,2023,112,17,9,2,0,6,30.4,2.7,.162,.208,34.3,53.8,4.56,28.2
Tromp, Chadwick,644433,2023,16,2,1,1,0,0,43.8,0,.125,.150,28.6,56.5,,
Albies, Ozzie,645277,2023,660,167,99,30,5,33,16.2,7,.280,.266,20.6,54.6,4.21,27.6
Robles, Victor,645302,2023,126,32,26,5,1,0,14.3,8.7,.299,.266,21.6,53.1,4.43,28.0
Herrera, Jose,645444,2023,120,21,16,5,0,0,25,10.8,.208,.209,19.1,39,4.76,25.4
Ford, Mike,645801,2023,251,50,28,6,0,16,32.3,9.6,.228,.202,30.4,42.7,4.88,24.5
Devers, Rafael,646240,2023,656,157,90,34,0,33,19.2,9.5,.271,.282,26.1,52.6,4.54,26.0
Naylor, Josh,647304,2023,495,139,91,31,0,17,13.7,6.7,.308,.293,19.8,56.5,4.66,25.8
Toro, Abraham,647351,2023,21,8,6,0,0,2,23.8,9.5,.444,.383,37.9,42,,26.9
Díaz, Aledmys,649557,2023,344,72,47,20,1,4,19.2,4.9,.229,.235,22.3,52.8,4.48,26.0
Urías, Luis,649966,2023,177,28,19,6,0,3,23.2,11.9,.194,.182,26.4,39.8,4.69,26.0
Arraez, Luis,650333,2023,617,203,160,30,3,10,5.5,5.7,.354,.329,7.8,51,4.57,26.1
Jiménez, Eloy,650391,2023,489,124,83,23,0,18,19,6.1,.272,.258,29.7,52,4.6,26.5
Torres, Gleyber,650402,2023,672,163,108,28,2,25,14.6,10,.273,.282,21.8,46.8,4.61,26.4
Castro, Willi,650489,2023,409,92,60,18,5,9,24.2,8.3,.257,.231,27.9,51.6,4.28,28.6
Díaz, Yandy,650490,2023,600,173,116,35,0,22,15.7,10.8,.330,.305,18.3,42.6,4.61,26.6
De La Cruz, Bryan,650559,2023,626,149,98,32,0,19,22.7,6.4,.257,.273,28.7,50.1,4.47,27.7
Rengifo, Luis,650859,2023,445,104,69,15,4,16,18.4,9.2,.264,.246,24.5,50.1,4.34,27.4
Pinto, René,650907,2023,105,26,17,3,0,6,32.4,1.9,.252,.256,38,55.5,4.54,26.9
Monasterio, Andruw,655316,2023,315,73,55,14,1,3,21,8.9,.259,.248,21.7,42.1,4.4,28.0
Pérez, Carlos,656024,2023,53,10,5,4,0,1,20.8,7.5,.204,.197,22.7,49.2,4.75,26.1
Adams, Riley,656180,2023,158,39,20,13,2,4,28.5,7,.273,.224,28.3,52.9,4.68,26.2
Allen, Greg,656185,2023,28,5,2,1,1,1,35.7,7.1,.217,.100,35.3,48.1,,27.0
Bouchard, Sean,656248,2023,43,12,6,2,0,4,32.6,9.3,.316,.239,30.6,44.4,,27.3
Chapman, Matt,656305,2023,581,122,64,39,2,17,28.4,10.7,.240,.230,31.1,43.3,4.43,28.5
Chavis, Michael,656308,2023,96,22,17,3,0,2,34.4,5.2,.242,.234,34,53.3,4.41,28.7
Díaz, Isan,656371,2023,26,1,1,0,0,0,34.6,7.7,.042,.078,36.1,42.4,,22.0
Ellis, Drew,656403,2023,29,5,3,0,0,2,24.1,20.7,.217,.211,28,39.1,,27.2
Fairchild, Stuart,656413,2023,255,50,27,16,2,5,27.1,9.8,.228,.231,33.9,51.1,4.28,29.2
Garrett, Stone,656448,2023,271,63,37,17,0,9,30.3,9.6,.269,.263,32.6,52.8,4.46,28.5
Guthrie, Dalton,656495,2023,28,4,3,1,0,0,25,10.7,.167,.198,31.6,50.4,,28.6
Haseley, Adam,656514,2023,39,8,6,2,0,0,20.5,7.7,.222,.250,27.1,54.3,4.33,27.9
Hill, Derek,656537,2023,50,8,7,1,0,0,22,6,.170,.196,24.2,47.9,4.19,29.7
Hilliard, Sam,656541,2023,78,17,9,5,0,3,42.3,7.7,.236,.204,41.9,43.6,,28.9
Joe, Connor,656582,2023,472,102,56,31,4,11,23.3,10.6,.247,.248,23.6,39.5,4.56,27.1
Luplow, Jordan,656669,2023,90,16,11,3,0,2,30,13.3,.208,.194,36,48.9,4.51,27.6
McKinstry, Zach,656716,2023,518,107,73,21,4,9,21.8,8.5,.231,.247,20.4,47.3,4.25,28.5
Mullins II, Cedric,656775,2023,455,94,53,23,3,15,22.2,9.5,.233,.226,24.8,49.6,4.26,28.0
O'Hearn, Ryan,656811,2023,368,100,63,22,1,14,22.3,4.1,.289,.264,23.3,50.7,4.46,27.7
Rivera, Emmanuel,656896,2023,283,67,50,13,0,4,19.8,7.8,.261,.263,26.7,46.7,4.64,27.1
Schwarber, Kyle,656941,2023,720,115,48,19,1,47,29.9,17.5,.197,.220,31.5,37.7,4.69,25.0
Smith, Pavin,656976,2023,228,36,24,5,0,7,19.7,15.4,.188,.228,20.1,40.4,4.62,26.2
Thomas, Lane,657041,2023,682,168,101,36,3,28,25.8,5.3,.268,.255,23,43.6,4.39,29.3
Tucker, Cole,657061,2023,10,4,4,0,0,0,20,10,.500,.365,21.4,33.3,,28.3
Verdugo, Alex,657077,2023,602,144,89,37,5,13,15.4,7.5,.264,.278,15.6,40.9,4.34,27.3
Wall, Forrest,657088,2023,15,6,3,2,0,1,26.7,13.3,.462,.147,9.7,43.7,,28.2
Wong, Connor,657136,2023,403,87,51,25,2,9,33.3,5.5,.235,.211,32.3,52.8,4.41,28.3
O'Keefe, Brian,657247,2023,21,2,0,2,0,0,33.3,9.5,.105,.133,48.7,51.3,,
DeJong, Paul,657557,2023,400,77,50,13,0,14,30.3,5.3,.207,.219,35.4,53.2,4.62,26.8
Laureano, Ramón,657656,2023,404,81,50,18,4,9,28.2,8.2,.224,.232,29,46.8,4.4,27.9
Sheets, Gavin,657757,2023,344,63,43,10,0,10,19.2,8.1,.203,.210,21.7,47.4,4.57,26.5
Olivares, Edward,658668,2023,385,93,54,23,4,12,16.6,5.7,.263,.270,22.9,50.7,4.44,28.6
Moncada, Yoán,660162,2023,357,87,55,20,1,11,30,5.6,.260,.257,30.7,46.8,4.6,26.4
Ohtani, Shohei,660271,2023,599,151,73,26,8,44,23.9,15.2,.304,.295,32.3,48.2,4.16,27.8
Araúz, Jonathan,660620,2023,66,8,5,0,0,3,27.3,7.6,.136,.185,29.8,44.3,,26.1
Hernández, Yonny,660634,2023,27,3,2,1,0,0,29.6,7.4,.136,.135,28.9,40.5,,25.6
Bruján, Vidal,660644,2023,84,13,11,2,0,0,25,6,.171,.169,22.8,52.8,,26.9
Acuña Jr., Ronald,660670,2023,735,217,137,35,4,41,11.4,10.9,.337,.357,18.7,46.2,4.35,28.0
Ruiz, Keibert,660688,2023,562,136,94,24,0,18,10.3,5.5,.260,.274,14.3,51.1,4.78,25.1
Montero, Elehuris,660707,2023,307,69,41,15,2,11,36.2,4.9,.243,.201,39.3,53,4.63,26.6
Gonzalez, Oscar,660757,2023,180,37,26,7,2,2,25.6,2.8,.214,.237,30.4,59,4.44,28.0
Yepez, Juan,660766,2023,65,11,8,1,0,2,30.8,6.2,.183,.246,26.1,50.9,,26.0
Sánchez, Jesús,660821,2023,402,91,51,23,3,14,26.6,9.5,.253,.269,30.1,48.9,4.44,27.5
Contreras, William,661388,2023,611,156,100,38,1,17,20.6,10.3,.289,.255,28,43.2,4.49,26.5
Serven, Brian,661531,2023,23,3,2,1,0,0,43.5,0,.130,.127,43.9,53.2,,25.1
Varsho, Daulton,662139,2023,581,116,70,23,3,20,23.2,7.7,.220,.232,24.5,50.1,4.33,28.1
Jones, Jahmai,663330,2023,11,2,1,1,0,0,45.5,9.1,.200,.167,30.4,46.9,,
Perkins, Blake,663368,2023,168,31,20,7,0,4,27.4,13.7,.217,.194,22.9,36.7,4.14,30.0
Nootbaar, Lars,663457,2023,503,111,73,23,1,14,19.7,14.3,.261,.265,18.2,35.5,4.3,27.8
Nevin, Tyler,663527,2023,111,19,13,3,1,2,22.5,10.8,.200,.215,22.7,46.6,4.78,25.7
Hoerner, Nico,663538,2023,688,175,135,27,4,9,12.1,7.1,.283,.273,12.4,45.6,4.31,28.5
Cabbage, Trey,663550,2023,56,11,7,3,0,1,46.4,3.6,.208,.140,51.4,65.1,,28.4
Riley, Austin,663586,2023,715,179,107,32,3,37,24.1,8.3,.281,.273,27.8,48.2,4.5,28.1
Baker, Luken,663609,2023,99,18,13,3,0,2,31.3,13.1,.209,.237,31.6,41.7,,24.7
Madrigal, Nick,663611,2023,294,71,52,16,1,2,8.2,3.4,.263,.275,9.4,45,4.27,28.0
Larnach, Trevor,663616,2023,212,39,21,7,3,8,34,12.7,.213,.215,36.5,41,4.51,26.7
Mountcastle, Ryan,663624,2023,470,114,74,21,1,18,22.8,7.9,.270,.273,28.3,54.7,4.43,28.2
McKenna, Ryan,663630,2023,139,31,22,7,0,2,28.8,6.5,.254,.226,33.9,53.2,4.24,28.7
Hayes, Ke'Bryan,663647,2023,525,134,81,31,7,15,19.8,5.3,.271,.270,21.2,45.6,4.52,27.1
Tucker, Kyle,663656,2023,674,163,92,37,5,29,13.6,11.9,.284,.292,18.5,47,4.51,26.6
India, Jonathan,663697,2023,529,111,71,23,0,17,20.6,9.8,.244,.252,22,38.6,4.49,27.8
Bart, Joey,663698,2023,95,18,13,5,0,0,24.2,3.2,.207,.194,27.1,48.6,4.62,26.5
Raleigh, Cal,663728,2023,569,119,65,23,1,30,27.8,9.5,.232,.233,29.9,49.7,4.56,27.0
Fortes, Nick,663743,2023,323,60,44,10,0,6,18.3,5.3,.204,.214,16.5,45.5,4.44,27.6
Grisham, Trent,663757,2023,555,93,48,31,1,13,27.7,13.5,.198,.218,28.3,41.6,4.47,27.7
Montes, Coco,663796,2023,41,7,4,2,0,1,29.3,4.9,.184,.149,28.7,61.7,,27.6
Vierling, Matt,663837,2023,530,125,89,21,5,10,21.1,8.3,.261,.266,19.3,44.3,4.39,29.1
Rivas III, Alfonso,663845,2023,123,25,11,10,1,3,29.3,7.3,.229,.217,27.4,42.7,4.51,26.9
Gonzalez, Romy,663853,2023,97,18,9,4,2,3,37.1,2.1,.194,.211,38.1,49.9,4.31,29.3
Stephenson, Tyler,663886,2023,517,113,78,20,2,13,26.1,9.1,.243,.243,28.4,42.5,4.62,26.9
Williams, Luke,663897,2023,19,1,1,0,0,0,36.8,0,.053,.048,34.2,56.7,,27.4
Rodgers, Brendan,663898,2023,192,46,32,9,1,4,21.4,5.7,.258,.256,25.4,48.1,4.59,26.3
Blankenhorn, Travis,663905,2023,37,5,4,0,0,1,16.2,16.2,.161,.225,31.7,44.1,,25.5
Salazar, César,663967,2023,19,2,2,0,0,0,31.6,5.3,.111,.141,27.7,57.3,,
Lowe, Nathaniel,663993,2023,724,163,105,38,3,17,22.8,12.8,.262,.263,20.6,43.8,4.38,27.3
Happ, Ian,664023,2023,691,144,84,35,4,21,22.1,14.3,.248,.254,25.2,44.4,4.32,27.7
Mathias, Mark,664029,2023,72,14,12,2,0,0,20.8,13.9,.226,.229,29.8,40.5,4.48,27.6
France, Ty,664034,2023,665,147,103,32,0,12,17.6,6.5,.250,.270,21.9,53.2,4.87,25.0
Lowe, Brandon,664040,2023,436,87,50,15,1,21,27.3,11.5,.231,.235,32,51.6,4.33,27.3
Bader, Harrison,664056,2023,344,74,53,12,2,7,17.2,4.9,.232,.234,24.6,48.5,4.32,28.8
Stevenson, Andrew,664057,2023,40,7,6,1,0,0,20,5,.189,.166,25.8,53.4,4.14,29.2
Fletcher, David,664058,2023,97,22,19,1,0,2,9.3,7.2,.247,.229,16.4,50.5,4.55,26.2
Haggerty, Sam,664059,2023,108,23,18,3,1,1,15.7,13.9,.253,.266,21.6,48.2,4.29,29.2
Moore, Dylan,664238,2023,165,30,13,9,1,7,33.9,9.7,.207,.203,33.4,46,4.43,27.7
Garlick, Kyle,664247,2023,30,5,2,1,0,2,36.7,6.7,.179,.200,38.3,39.2,,26.1
Florial, Estevan,664314,2023,71,14,10,3,1,0,28.2,9.9,.230,.241,36.5,46.6,4.33,29.3
Straw, Myles,664702,2023,518,110,88,18,3,1,18.7,8.1,.238,.239,14,44,4.14,29.2
Isbel, Kyle,664728,2023,313,70,41,22,2,5,18.8,5.4,.240,.247,20.5,46.9,4.35,27.6
Bohm, Alec,664761,2023,611,153,102,31,0,20,15.4,6.9,.274,.290,18.1,49.8,4.65,26.6
Lukes, Nathan,664770,2023,31,5,3,1,1,0,29,12.9,.192,.211,19.4,55.4,,27.4
Wade Jr., LaMonte,664774,2023,519,110,77,14,2,17,18.3,14.6,.256,.261,20.7,39.5,4.62,26.0
Zavala, Seby,664874,2023,193,30,19,4,0,7,36.3,6.2,.171,.188,38.4,54.3,4.63,26.4
Mendick, Danny,664901,2023,69,12,8,3,0,1,21.7,5.8,.185,.207,24.2,44.9,4.68,25.6
Brown, Seth,664913,2023,378,76,42,19,1,14,26.7,7.9,.222,.237,31.3,50.3,4.58,27.3
Sullivan, Brett,664954,2023,86,17,13,3,0,1,22.1,4.7,.210,.229,18.4,47,4.42,27.4
McCarthy, Jake,664983,2023,312,67,53,7,5,2,19.9,8.3,.243,.242,21.7,51.1,4.18,30.0
Clemens, Kody,665019,2023,148,32,21,7,0,4,27,5.4,.230,.224,27.9,47.6,4.46,27.5
Walsh, Jared,665120,2023,116,13,5,4,0,4,38.8,9.5,.125,.149,45.3,46.2,,26.2
Maton, Nick,665155,2023,293,43,26,9,0,8,24.9,13,.173,.191,31.2,45.1,4.48,27.2
Peña, Jeremy,665161,2023,634,152,107,32,3,10,20.3,6.8,.263,.259,28.3,53.2,4.28,29.4
Tatis Jr., Fernando,665487,2023,635,148,89,33,1,25,22.2,8.3,.257,.281,30.5,54.1,4.32,29.3
Guerrero Jr., Vladimir,665489,2023,682,159,103,30,0,26,14.7,9.8,.264,.299,23,50.6,4.62,26.4
Pache, Cristian,665506,2023,95,20,10,7,1,2,28.4,10.5,.238,.244,34.6,47.6,4.46,27.8
Soto, Juan,665742,2023,708,156,88,32,1,35,18.2,18.6,.275,.284,20.4,35.8,4.39,26.8
Taveras, Leody,665750,2023,554,136,88,31,3,14,21.1,6.3,.266,.270,24.2,49.4,4.24,29.1
Amaya, Miguel,665804,2023,156,28,19,4,0,5,25.6,7.7,.214,.232,27.3,46.3,4.68,26.0
Cabrera, Oswaldo,665828,2023,330,63,47,11,0,5,21.8,7.6,.211,.211,23.5,50.5,4.42,27.8
Cruz, Oneil,665833,2023,40,8,6,1,0,1,20,17.5,.250,.209,30.1,45.1,,28.7
Valdez, Enmanuel,665839,2023,149,37,23,8,0,6,24.8,5.4,.266,.236,24.3,43.8,4.58,26.4
Chisholm Jr., Jazz,665862,2023,383,88,55,12,2,19,30.8,6.8,.250,.224,35.7,44.9,4.15,28.4
Fermín, José,665877,2023,61,12,11,1,0,0,13.1,9.8,.235,.278,12.2,41.1,4.29,28.0
Ruiz, Esteury,665923,2023,497,114,84,24,1,5,19.9,4,.254,.234,25.1,51.9,4.34,29.6
Giménez, Andrés,665926,2023,616,140,93,27,5,15,18.2,5.2,.251,.245,25,54.6,4.18,29.2
Aranda, Jonathan,666018,2023,103,20,13,4,1,2,30.1,12.6,.230,.192,29.6,44.3,4.59,26.1
Fermin, Freddy,666023,2023,235,61,41,10,1,9,21.3,5.5,.281,.277,24.3,54.6,4.59,27.1
Jones, Nolan,666134,2023,424,109,63,22,4,20,29.7,12.5,.297,.249,31.9,41.6,4.41,28.4
Kirilloff, Alex,666135,2023,319,76,50,14,1,11,25.1,8.8,.270,.261,27.6,47.3,4.41,27.2
Lowe, Josh,666139,2023,501,136,81,33,2,20,24.8,6.2,.292,.276,30.2,53.3,4.23,28.7
Fitzgerald, Tyler,666149,2023,34,7,3,2,0,2,29.4,5.9,.219,.155,25.8,44.9,,30.1
Fletcher, Dominic,666150,2023,102,28,20,5,1,2,21.6,6.9,.301,.225,21.1,50,4.47,26.4
Hamilton, David,666152,2023,39,4,2,2,0,0,25.6,15.4,.121,.150,20.3,43.1,,29.2
Moniak, Mickey,666160,2023,323,87,50,21,2,14,35,2.8,.280,.248,38.5,61.7,4.32,28.6
Rortvedt, Ben,666163,2023,79,8,5,1,0,2,24.1,13.9,.118,.180,27.9,42.2,4.63,25.8
Rutherford, Blake,666164,2023,36,6,6,0,0,0,27.8,2.8,.171,.160,31.7,60.7,4.52,27.2
Sabol, Blake,666165,2023,344,73,50,10,0,13,34,7,.235,.199,35.4,52.3,4.4,27.4
Adell, Jo,666176,2023,62,12,5,3,1,3,40.3,6.5,.207,.166,38.5,51.7,,29.0
Benson, Will,666181,2023,329,79,45,15,8,11,31.3,12.2,.275,.230,31.5,42.8,4.38,28.8
Bichette, Bo,666182,2023,601,175,122,30,3,20,19.1,4.5,.306,.312,21.1,56.6,4.52,27.1
Carlson, Dylan,666185,2023,255,48,34,8,1,5,19.2,10.2,.219,.237,22.6,46,4.39,27.6
Kessinger, Grae,666197,2023,45,8,5,2,0,1,26.7,11.1,.200,.194,31.1,44.8,4.58,26.6
Kieboom, Carter,666198,2023,94,18,12,2,0,4,28.7,6.4,.207,.196,34.4,47,4.62,26.4
Trammell, Taylor,666211,2023,56,6,3,0,0,3,39.3,16.1,.130,.164,42.2,42.7,,27.1
Naylor, Bo,666310,2023,230,47,23,13,0,11,23,13,.237,.217,21.8,44.5,4.34,27.4
Julien, Edouard,666397,2023,408,89,56,16,1,16,31.4,15.7,.263,.233,29.1,37.6,4.39,27.0
Morel, Christopher,666624,2023,429,96,50,17,3,26,31,8.4,.247,.244,37,49.8,4.42,28.6
Rosario, Eguy,666703,2023,37,9,5,1,1,2,32.4,2.7,.250,.194,30.7,47.8,,28.3
Castro, Rodolfo,666801,2023,256,48,35,7,0,6,28.9,9,.211,.189,32.9,47.6,4.48,27.3
Alu, Jake,666906,2023,175,36,31,2,1,2,24,5.7,.226,.242,26.5,50,4.37,28.1
Dalbec, Bobby,666915,2023,53,10,7,2,0,1,52.8,7.5,.204,.198,47.3,48,,28.1
García, Adolis,666969,2023,632,136,68,29,0,39,27.7,10.3,.245,.250,31.6,48.6,4.46,27.3
Gurriel Jr., Lourdes,666971,2023,592,144,83,35,2,24,17.4,5.6,.261,.264,18.7,49.1,4.5,27.1
Julks, Corey,667452,2023,323,73,53,14,0,6,23.2,6.8,.245,.248,25.4,45.8,4.36,28.4
Myers, Dane,667472,2023,70,18,14,3,0,1,27.1,2.9,.269,.299,25.2,48.5,4.28,28.9
Rooker Jr., Brent,667670,2023,526,114,63,20,1,30,32.7,9.3,.246,.237,38.2,46.1,4.62,27.1
Arozarena, Randy,668227,2023,654,140,95,19,3,23,23.9,12.2,.254,.243,29.1,43,4.25,28.4
Pratto, Nick,668472,2023,345,71,48,16,0,7,40,8.4,.232,.209,35.3,43.1,4.5,26.3
Rogers, Jake,668670,2023,365,73,41,11,0,21,32.3,7.7,.221,.227,31.7,45.8,4.67,27.2
Bleday, JJ,668709,2023,303,50,29,11,0,10,23.8,13.9,.195,.204,28,43.6,4.5,27.2
Steer, Spencer,668715,2023,665,158,95,37,3,23,20.9,10.2,.271,.252,24.1,43.8,4.44,28.4
Baddoo, Akil,668731,2023,357,68,43,13,1,11,24.9,11.8,.218,.218,24.8,47,4.09,29.0
Knizner, Andrew,668800,2023,241,54,33,11,0,10,25.7,5,.241,.221,27.3,54.8,4.77,25.9
Reynolds, Bryan,668804,2023,640,151,91,31,5,24,21.6,8.3,.263,.280,28.2,47.4,4.44,27.8
Capel, Conner,668843,2023,86,19,14,5,0,0,29.1,14,.260,.237,29.3,41.6,,27.0
Vientos, Mark,668901,2023,233,46,31,5,1,9,30.5,4.3,.211,.236,36.7,53,4.75,26.3
Lewis, Royce,668904,2023,239,67,45,7,0,15,23,8.4,.309,.265,27.3,47.4,4.35,28.2
Turang, Brice,668930,2023,448,88,70,9,3,6,21,8.5,.218,.224,21.5,47.9,4.19,29.4
Rutschman, Adley,668939,2023,687,163,111,31,1,20,14.7,13.4,.277,.292,15.6,41,4.41,27.0
Rojas, Josh,668942,2023,350,77,56,17,0,4,23.1,7.7,.245,.230,24.1,44.3,4.45,26.7
Kreidler, Ryan,668952,2023,18,2,2,0,0,0,38.9,0,.111,.095,41.7,50,,27.8
Mitchell, Garrett,669003,2023,73,16,10,2,1,3,35.6,9.6,.246,.226,39.7,45.3,4.09,29.3
Melendez Jr., MJ,669004,2023,602,125,75,29,5,16,28.2,10.3,.235,.235,34.4,47.9,4.25,27.6
Marsh, Brandon,669016,2023,472,112,69,25,6,12,30.5,12.5,.277,.234,27.3,42.4,4.31,28.6
Stowers, Kyle,669065,2023,33,2,2,0,0,0,36.4,9.1,.067,.144,35.9,54.2,,25.8
Huff, Sam,669087,2023,45,11,6,2,0,3,37.8,4.4,.256,.233,44.4,56.6,,26.2
Langeliers, Shea,669127,2023,490,92,47,19,4,22,29.2,6.9,.205,.211,32.1,50.3,4.51,28.4
Campusano, Luis,669134,2023,174,52,38,7,0,7,12.1,4,.319,.305,18.1,55.2,4.93,25.8
Murphy, Sean,669221,2023,438,93,51,21,0,21,22.4,11.2,.251,.274,25.9,45.9,4.66,26.0
Senzel, Nick,669222,2023,330,71,48,10,0,13,22.4,7.9,.236,.245,21.5,49.4,4.51,28.3
Wells, Austin,669224,2023,75,16,6,6,0,4,18.7,4,.229,.283,29.6,57.1,4.61,26.7
Edman, Tommy,669242,2023,528,119,77,25,4,13,15.9,6.6,.248,.262,16.1,45.7,4.24,28.8
Smith, Will,669257,2023,554,121,79,21,2,19,16.1,11.4,.261,.258,19.5,45.7,4.49,27.2
Suwinski, Jack,669261,2023,534,100,51,21,2,26,32.2,14,.224,.218,30.1,39,4.28,28.6
Espinal, Santiago,669289,2023,254,57,41,14,0,2,14.2,7.1,.248,.256,17.6,44.3,4.43,26.9
Miranda, Jose,669304,2023,152,30,23,4,0,3,15.8,5.9,.211,.242,25.2,51.7,4.51,26.6
Thompson, Bubba,669352,2023,60,9,4,4,1,0,26.7,6.7,.170,.175,37.4,52.3,4.23,30.2
Gorman, Nolan,669357,2023,464,96,52,17,0,27,31.9,11.4,.236,.237,35.5,49,4.46,26.5
Edwards, Xavier,669364,2023,84,23,20,3,0,0,16.7,3.6,.295,.248,20.5,52.3,4.18,28.2
Johnson, Bryce,669369,2023,48,7,5,1,0,1,31.3,8.3,.163,.177,28.9,47.2,,28.8
Taylor, Samad,669392,2023,69,12,9,2,1,0,31.9,10.1,.200,.196,31.6,49,4.23,29.1
Burger, Jake,669394,2023,540,123,60,28,1,34,27.6,5.9,.250,.270,34.1,54,4.44,28.0
Allen, Nick,669397,2023,329,67,57,4,2,4,15.8,5.2,.221,.221,19,49.2,4.38,27.9
Hummel, Cooper,669450,2023,26,2,1,1,0,0,34.6,7.7,.087,.201,34,45.7,,27.2
Schmitt, Casey,669477,2023,277,52,32,15,0,5,23.5,4.7,.206,.234,26.9,55,4.5,28.0
Smith, Josh,669701,2023,232,36,21,8,1,6,23.7,10.8,.185,.211,21.3,42.3,4.29,28.5
Triolo, Jared,669707,2023,209,54,42,9,0,3,30.1,11.5,.298,.257,32.4,43.7,4.37,28.4
Hays, Austin,669720,2023,566,143,89,36,2,16,24.9,6.7,.275,.242,28.3,46.6,4.42,27.4
Hall, Darick,669742,2023,56,9,7,1,0,1,32.1,3.6,.167,.215,24.1,56.6,,24.0
Call, Alex,669743,2023,439,75,52,14,1,8,17.8,12.1,.200,.214,18.3,40.3,4.29,28.8
Toglia, Michael,669911,2023,152,23,14,5,0,4,32.9,6.6,.163,.203,38.8,49.8,4.4,28.0
Lopez, Nicky,670032,2023,262,52,40,8,3,1,15.3,9.9,.231,.234,22,47.9,4.24,27.7
Raley, Luke,670042,2023,406,89,44,23,3,19,31.5,6.9,.249,.225,38.9,51.8,4.31,28.8
Short, Zack,670097,2023,253,45,29,9,0,7,26.1,11.1,.204,.210,24.9,41.9,4.37,28.1
Kohlwey, Taylor,670128,2023,13,2,2,0,0,0,38.5,0,.154,.104,28.6,45.7,,
Mastrobuoni, Miles,670156,2023,149,32,26,5,0,1,21.5,8.7,.241,.259,22.6,38,4.29,28.6
Mervis, Matt,670223,2023,99,15,10,2,0,3,32.3,8.1,.167,.234,33.3,50.4,,24.8
Wallner, Matt,670242,2023,254,53,27,11,1,14,31.5,11,.249,.233,36.3,47.1,4.34,28.0
Stevenson, Cal,670276,2023,12,0,0,0,0,0,16.7,25,.000,.128,16.7,30.5,,26.2
Alvarez, Yordan,670541,2023,496,120,64,24,1,31,18.5,13.9,.293,.300,22.4,43.7,4.58,26.3
Paredes, Isaac,670623,2023,571,123,68,24,0,31,18.2,10.2,.250,.230,18.2,45.6,4.74,26.1
Brosseau, Mike,670712,2023,78,15,9,2,0,4,25.6,5.1,.205,.197,31.3,48.2,4.54,27.6
Walls, Taylor,670764,2023,349,61,39,12,2,8,26.4,12.6,.201,.203,27,43,4.31,28.2
Friedl Jr., TJ,670770,2023,556,136,88,22,8,18,16.2,8.5,.279,.240,18.2,42.2,4.27,28.3
Soto, Livan,670869,2023,12,2,2,0,0,0,16.7,25,.222,.231,16,39.7,,
Herrera, Iván,671056,2023,44,11,9,2,0,0,25,11.4,.297,.270,24.7,42.5,,26.7
Kennedy, Buddy,671083,2023,29,4,3,1,0,0,20.7,13.8,.167,.225,26.7,37.5,,29.3
Casas, Triston,671213,2023,502,113,66,21,2,24,25.1,13.9,.263,.253,28.1,43.6,4.71,24.9
Ramos, Heliot,671218,2023,60,10,5,4,0,1,33.3,6.7,.179,.193,29.9,51.6,,26.9
Waters, Drew,671221,2023,337,69,45,11,5,8,31.8,8,.228,.235,32.4,51.3,4.3,28.7
García, Luis,671277,2023,482,119,88,18,4,9,12.4,5.6,.266,.263,17.9,50.6,4.27,27.2
Freeman, Tyler,671289,2023,168,37,26,7,0,4,17.9,6,.242,.272,17.8,47.6,4.4,28.6
Butler, Lawrence,671732,2023,129,26,18,4,0,4,27.1,3.1,.211,.235,29.7,47.8,4.4,27.4
Harris II, Michael,671739,2023,539,148,94,33,3,18,18.7,4.6,.293,.304,24.4,52.9,4.24,28.8
Bailey, Patrick,672275,2023,353,76,50,18,1,7,28.3,5.9,.233,.249,26.2,46.5,4.65,26.2
