EV, LA, Hits, Outs
113, 26, 2, 0
71, 29, 6, 6
90, 42, 0, 45
62, -20, 0, 4
103, -19, 4, 9
48, 45, 0, 2
106, -14, 1, 5
39, -4, 2, 1
83, 39, 1, 30
96, -22, 4, 23
55, -60, 3, 0
41, 42, 0, 2
99, -17, 3, 15
44, 47, 0, 1
85, 48, 1, 28
57, -14, 0, 5
48, -63, 1, 4
59, 32, 3, 3
92, -20, 2, 24
78, 45, 1, 20
97, 58, 0, 6
50, -17, 0, 1
69, -4, 1, 7
110, -3, 6, 1
71, 42, 3, 6
84, -19, 3, 19
43, -57, 0, 2
103, -6, 19, 30
48, 58, 0, 1
87, -14, 4, 19
59, -76, 0, 1
105, 40, 1, 8
64, 2, 1, 10
66, 48, 1, 6
85, 61, 0, 11
38, -14, 0, 2
101, 5, 34, 23
54, -70, 0, 1
73, -57, 1, 2
59, 45, 0, 2
78, 58, 0, 7
31, -54, 0, 1
91, -3, 6, 16
110, 10, 21, 3
75, -11, 2, 26
94, 2, 26, 30
52, 5, 0, 1
84, -6, 4, 24
73, 64, 0, 5
64, 15, 4, 7
105, 53, 0, 1
58, -59, 0, 1
77, -46, 0, 5
61, -54, 0, 2
80, -41, 0, 7
66, 61, 0, 2
98, 13, 76, 15
82, 5, 11, 26
101, 18, 33, 43
54, -57, 0, 4
40, 8, 1, 0
73, -44, 1, 2
72, -40, 0, 5
58, 62, 0, 1
75, 2, 4, 10
94, 15, 42, 22
61, 67, 0, 1
52, 18, 0, 2
93, 19, 17, 37
46, -56, 0, 1
65, -43, 1, 0
49, -51, 0, 1
68, -38, 0, 7
67, 3, 0, 9
86, 16, 41, 3
70, 8, 4, 16
58, -46, 1, 1
89, 21, 11, 27
42, -54, 0, 1
61, -41, 1, 4
88, 62, 0, 14
47, 24, 0, 1
79, 13, 23, 12
63, 5, 0, 4
82, 18, 22, 1
40, 21, 0, 1
53, -40, 0, 1
72, -27, 1, 11
56, -35, 0, 2
88, -46, 0, 1
74, 19, 20, 0
93, 32, 8, 41
46, -43, 0, 1
65, -30, 0, 7
49, -38, 0, 2
109, 13, 22, 7
35, 27, 1, 0
68, -25, 0, 11
67, 16, 4, 4
86, 29, 0, 39
70, 21, 15, 0
89, 34, 1, 41
42, -41, 0, 1
83, -40, 0, 3
102, -27, 1, 5
88, 75, 0, 1
47, 37, 0, 1
41, -37, 2, 3
60, -24, 0, 1
63, 18, 4, 3
104, 19, 51, 22
62, 22, 2, 5
95, -30, 0, 5
81, 35, 1, 19
34, -40, 2, 0
53, -27, 0, 1
37, -35, 1, 0
56, -22, 0, 2
97, -21, 3, 22
74, 32, 1, 17
32, 35, 0, 1
51, 48, 0, 2
71, -37, 0, 4
90, -24, 2, 22
48, -21, 0, 1
92, 22, 10, 45
83, -27, 1, 16
69, 38, 4, 3
60, -11, 0, 3
44, -19, 0, 4
104, 32, 24, 3
62, 35, 3, 2
81, 48, 0, 16
78, -21, 1, 19
97, -8, 14, 31
96, 33, 14, 48
99, 38, 0, 15
71, -24, 0, 11
90, -11, 5, 24
57, 41, 0, 3
76, 54, 0, 2
48, -8, 0, 1
92, 35, 5, 50
105, -26, 0, 1
50, 38, 0, 2
69, 51, 0, 3
108, -21, 1, 1
66, -18, 0, 17
85, -5, 4, 13
57, -67, 0, 1
84, 36, 1, 17
103, 49, 0, 1
87, 41, 0, 30
59, -21, 0, 5
78, -8, 2, 18
64, 57, 0, 4
36, -5, 0, 3
96, 46, 1, 15
55, 8, 0, 1
99, 51, 0, 7
112, -10, 2, 2
57, 54, 0, 3
76, 67, 0, 6
115, -5, 0, 1
73, -1, 3, 12
73, -2, 3, 11
105, -13, 1, 10
64, -51, 0, 2
91, 52, 0, 18
108, -8, 10, 9
94, 57, 0, 7
66, -5, 0, 8
85, 8, 18, 13
38, -67, 0, 2
84, 49, 0, 26
82, -61, 0, 1
87, 54, 0, 12
59, -8, 0, 2
100, -7, 30, 40
58, -4, 2, 6
77, 9, 12, 10
61, 1, 0, 2
80, 14, 23, 1
33, -61, 1, 1
52, -48, 0, 1
112, 3, 7, 3
79, 55, 0, 9
82, 60, 1, 9
115, 8, 1, 0
54, -1, 0, 4
54, -2, 0, 1
73, 11, 6, 13
114, 12, 4, 0
86, -50, 0, 2
91, 65, 0, 5
89, -45, 0, 3
75, 57, 0, 7
94, 70, 0, 1
88, -4, 10, 29
47, -42, 1, 0
107, 9, 37, 4
79, -53, 1, 1
65, 12, 2, 1
82, -48, 0, 1
68, 17, 5, 3
40, -45, 1, 1
100, 6, 39, 27
58, 9, 0, 4
77, 22, 23, 3
42, 1, 1, 0
61, 14, 0, 2
80, 27, 4, 16
74, -47, 0, 4
93, -34, 0, 3
79, 68, 0, 4
51, -31, 1, 1
82, 73, 0, 2
54, 11, 0, 1
95, 12, 36, 3
67, -50, 0, 2
53, 15, 0, 1
86, -37, 0, 2
72, 28, 11, 6
70, -45, 1, 3
89, -32, 0, 9
75, 70, 0, 3
88, 9, 29, 14
47, -29, 0, 1
107, 22, 28, 0
74, 74, 0, 1
65, 25, 7, 0
63, -48, 1, 1
49, 17, 0, 1
68, 30, 9, 2
81, -31, 1, 8
67, 71, 0, 2
42, 14, 0, 1
83, 15, 27, 0
102, 28, 40, 5
74, -34, 0, 8
93, -21, 2, 20
60, 31, 0, 3
51, -18, 0, 2
95, 25, 18, 40
53, 28, 0, 3
72, 41, 2, 8
37, 20, 1, 1
69, -28, 0, 9
113, 15, 1, 4
46, 25, 0, 1
44, -85, 0, 1
90, 31, 1, 44
62, -31, 0, 7
81, -18, 1, 19
39, -15, 0, 1
83, 28, 2, 34
102, 41, 3, 8
96, -33, 0, 1
41, 31, 0, 1
99, -28, 0, 3
44, 36, 0, 2
35, -13, 1, 0
76, -12, 3, 16
