EV, LA, Hits, Outs
85, 50, 1, 16
57, -12, 1, 1
76, 1, 3, 17
59, 34, 0, 1
78, 47, 0, 22
97, 60, 0, 4
91, -14, 4, 29
55, 63, 0, 1
94, -9, 19, 34
71, 44, 5, 10
30, 6, 0, 1
84, -17, 2, 21
29, 47, 0, 1
103, -4, 23, 29
87, -12, 3, 22
106, 1, 38, 27
45, -9, 0, 1
64, 4, 2, 4
105, 42, 0, 2
77, -57, 0, 1
80, -52, 0, 3
66, 50, 0, 7
85, 63, 0, 7
57, 1, 0, 1
98, 2, 30, 34
101, 7, 41, 27
54, -68, 0, 1
73, -55, 1, 1
59, 47, 0, 2
100, 48, 0, 10
110, 12, 23, 5
77, 64, 0, 2
75, -9, 0, 11
94, 4, 23, 32
66, -58, 0, 1
65, -54, 0, 4
68, -49, 0, 5
87, 1, 6, 27
73, 66, 1, 1
45, 4, 0, 1
86, 5, 19, 20
58, -57, 1, 1
89, 10, 15, 16
77, -44, 0, 4
42, -65, 0, 1
61, -52, 0, 2
80, -39, 0, 8
66, 63, 0, 2
79, 2, 2, 13
98, 15, 45, 24
63, -6, 0, 2
82, 7, 11, 18
101, 20, 23, 33
54, -55, 0, 1
72, -38, 0, 8
77, 77, 0, 3
75, 4, 2, 15
116, 5, 0, 1
80, 82, 0, 3
33, 7, 0, 1
52, 20, 0, 2
93, 21, 21, 39
65, -41, 0, 9
51, 24, 0, 2
49, -49, 1, 2
109, 2, 16, 13
68, -36, 2, 7
54, 66, 0, 1
67, 5, 1, 9
86, 18, 36, 6
72, 83, 0, 4
58, -44, 1, 3
70, 10, 5, 12
89, 23, 3, 35
42, -52, 0, 2
61, -39, 0, 8
28, 13, 0, 1
88, 64, 0, 3
60, -35, 0, 5
79, 15, 17, 6
65, 80, 0, 2
63, 7, 0, 6
82, 20, 23, 4
40, 23, 0, 1
81, 24, 7, 20
72, -25, 1, 7
56, -33, 0, 3
61, 82, 0, 3
88, -44, 0, 2
74, 21, 20, 0
93, 34, 4, 40
46, -41, 1, 1
49, -36, 0, 3
90, -35, 0, 6
67, 18, 4, 8
70, 23, 14, 0
111, 24, 8, 0
83, -38, 0, 8
102, -25, 0, 4
47, 39, 0, 3
88, 77, 0, 4
60, -22, 0, 3
44, -30, 1, 2
104, 21, 64, 14
62, 24, 3, 3
81, 37, 0, 23
34, -38, 0, 1
53, -25, 0, 3
56, -20, 0, 1
97, -19, 5, 23
83, 83, 0, 3
69, -81, 1, 0
55, -16, 0, 3
74, 34, 2, 17
71, -35, 1, 6
90, -22, 0, 28
76, 43, 1, 16
92, 24, 9, 43
111, 37, 1, 0
83, -25, 3, 8
50, 27, 0, 3
69, 40, 5, 5
27, 43, 0, 1
85, -16, 2, 21
104, 34, 13, 8
76, -65, 0, 1
62, 37, 2, 5
103, 38, 6, 12
106, 43, 2, 3
59, -32, 0, 5
78, -19, 2, 12
97, -6, 8, 33
36, -16, 1, 1
96, 35, 12, 55
55, -3, 0, 2
99, 40, 3, 23
71, -22, 0, 10
112, -21, 2, 0
57, 43, 2, 1
76, 56, 0, 6
48, -6, 0, 2
92, 37, 4, 41
64, -62, 0, 1
50, 40, 0, 1
105, -24, 0, 3
69, 53, 0, 3
108, -19, 0, 2
66, -16, 1, 9
85, -3, 7, 19
84, 38, 0, 27
103, 51, 0, 3
87, 43, 0, 22
59, -19, 0, 4
78, -6, 2, 14
119, -5, 1, 0
64, 59, 0, 5
77, -2, 4, 16
77, -1, 3, 16
96, 48, 0, 18
99, 53, 0, 2
52, -59, 0, 2
112, -8, 1, 2
57, 56, 0, 1
98, 57, 0, 3
115, -3, 1, 0
54, -13, 0, 1
105, -11, 5, 12
64, -49, 0, 2
91, 54, 0, 9
31, 3, 0, 1
75, 46, 2, 13
108, -6, 4, 12
94, 59, 0, 11
66, -3, 0, 9
107, -1, 14, 10
107, -2, 11, 13
84, 51, 0, 14
43, 13, 0, 1
87, 56, 0, 13
100, -5, 25, 45
58, -1, 0, 4
58, -2, 0, 1
77, 11, 9, 3
75, -62, 1, 1
61, 3, 0, 4
80, 16, 20, 0
52, -46, 0, 1
79, 57, 0, 10
82, 62, 0, 11
73, 13, 6, 14
114, 14, 4, 0
67, -61, 1, 2
86, -48, 1, 1
70, -56, 0, 2
89, -43, 0, 4
75, 59, 1, 7
94, 72, 0, 2
88, -1, 11, 22
88, -2, 3, 24
107, 11, 38, 4
47, -40, 0, 1
93, 76, 0, 1
46, 1, 0, 1
79, -51, 0, 1
65, 14, 1, 8
63, -59, 1, 0
82, -46, 1, 3
68, 19, 9, 4
40, -43, 0, 1
100, 8, 51, 32
67, 60, 0, 2
86, 73, 0, 1
58, 11, 1, 0
70, 65, 0, 4
89, 78, 0, 2
61, 16, 0, 5
102, 17, 40, 38
74, -45, 0, 3
93, -32, 3, 5
79, 70, 0, 2
63, 62, 0, 4
35, -37, 0, 1
95, 14, 46, 5
114, 27, 1, 0
67, -48, 2, 4
86, -35, 0, 11
72, 30, 5, 4
70, -43, 1, 2
56, 22, 1, 3
89, -30, 1, 4
88, 11, 25, 13
47, -27, 0, 1
74, 76, 0, 1
65, 27, 3, 0
68, 32, 4, 0
62, -42, 0, 3
81, -29, 0, 9
67, 73, 0, 1
86, 86, 0, 1
70, 78, 0, 1
83, 17, 32, 0
102, 30, 43, 12
74, -32, 1, 9
63, 75, 0, 1
51, -16, 1, 3
35, -24, 0, 1
95, 27, 18, 52
62, 79, 0, 1
53, 30, 0, 1
