EV, LA, Hits, Outs
113, 26, 4, 0
71, 29, 13, 3
30, -9, 0, 1
90, 42, 0, 33
62, -20, 0, 10
103, -19, 1, 10
29, 32, 0, 1
106, -14, 3, 12
23, -12, 0, 1
83, 39, 1, 20
96, -22, 4, 19
55, -60, 1, 0
25, 34, 0, 2
99, -17, 7, 27
85, 48, 0, 15
57, -14, 0, 1
48, -63, 0, 5
92, -20, 2, 26
59, 32, 2, 1
78, 45, 1, 9
97, 58, 1, 12
69, -4, 0, 5
110, -3, 6, 11
55, 61, 0, 2
66, -73, 0, 2
85, -60, 1, 0
71, 42, 4, 5
84, -19, 1, 24
43, -57, 0, 2
103, -6, 10, 33
87, -14, 2, 17
59, -76, 0, 2
105, 40, 6, 4
64, 2, 0, 7
36, -60, 0, 1
80, -54, 3, 0
66, 48, 4, 2
85, 61, 0, 16
101, 5, 37, 30
54, -70, 0, 1
73, -57, 0, 3
59, 45, 1, 0
78, 58, 0, 14
31, -54, 1, 0
91, -3, 12, 19
110, 10, 36, 3
75, -11, 1, 12
94, 2, 31, 33
66, -60, 0, 2
52, 5, 0, 3
84, -6, 5, 27
43, -44, 0, 2
54, 51, 0, 3
73, 64, 0, 4
64, 15, 2, 6
58, -59, 0, 4
77, -46, 0, 1
61, -54, 3, 2
80, -41, 0, 8
66, 61, 0, 9
98, 13, 74, 1
82, 5, 6, 24
101, 18, 33, 25
73, -44, 1, 4
40, 8, 0, 2
100, 59, 0, 4
31, -41, 0, 1
72, -40, 0, 8
58, 62, 0, 1
77, 75, 0, 8
75, 2, 4, 14
94, 15, 49, 7
61, 67, 0, 1
80, 80, 0, 6
33, 5, 0, 1
52, 18, 1, 1
93, 19, 14, 25
65, -43, 0, 7
68, -38, 0, 7
54, 64, 0, 3
73, 77, 0, 3
67, 3, 1, 14
86, 16, 36, 0
31, 80, 0, 1
58, -46, 2, 3
70, 8, 3, 9
89, 21, 7, 31
42, -54, 1, 1
61, -41, 1, 5
102, -40, 0, 1
88, 62, 0, 16
79, 13, 10, 6
65, 78, 0, 1
63, 5, 1, 4
51, -86, 0, 1
82, 18, 31, 0
40, 21, 0, 1
53, -40, 0, 3
72, -27, 1, 7
58, 75, 0, 1
56, -35, 0, 4
116, 16, 5, 0
88, -46, 1, 5
74, 19, 17, 1
93, 32, 8, 36
65, -30, 1, 8
32, 22, 0, 1
49, -38, 0, 2
109, 13, 27, 6
68, -25, 0, 9
67, 16, 4, 1
86, 29, 0, 37
70, 21, 8, 0
89, 34, 1, 31
42, -41, 1, 1
83, -40, 0, 7
28, 24, 0, 1
102, -27, 2, 13
47, 37, 1, 1
88, 75, 0, 8
41, -37, 0, 1
60, -24, 0, 1
44, -32, 0, 2
63, 18, 0, 1
104, 19, 51, 42
95, -30, 0, 4
62, 22, 0, 4
81, 35, 1, 22
34, -40, 0, 2
53, -27, 0, 1
37, -35, 1, 1
56, -22, 0, 2
97, -21, 4, 12
83, 81, 0, 5
74, 32, 2, 11
32, 35, 0, 1
71, -37, 2, 8
30, -75, 0, 1
90, -24, 0, 27
48, -21, 0, 1
92, 22, 5, 50
111, 35, 4, 0
83, -27, 0, 5
69, 38, 5, 3
41, -24, 1, 0
60, -11, 0, 4
25, -32, 0, 1
104, 32, 39, 18
76, -67, 0, 1
62, 35, 1, 1
81, 48, 1, 11
34, -27, 2, 1
39, 51, 0, 1
37, -22, 0, 2
78, -21, 0, 16
23, 43, 0, 1
97, -8, 13, 41
50, -83, 1, 0
36, -18, 1, 0
69, -70, 0, 3
96, 33, 12, 49
55, -5, 0, 2
99, 38, 4, 23
71, -24, 0, 12
90, -11, 4, 30
57, 41, 1, 2
76, 54, 0, 7
92, 35, 3, 55
64, -64, 1, 2
105, -26, 0, 4
50, 38, 0, 1
69, 51, 1, 3
108, -21, 1, 4
25, -19, 0, 1
66, -18, 0, 13
85, -5, 6, 17
57, -67, 2, 2
84, 36, 1, 40
103, 49, 0, 4
87, 41, 1, 26
106, 54, 0, 2
59, -21, 0, 3
78, -8, 1, 21
64, 57, 0, 5
96, 46, 0, 33
55, 8, 0, 2
99, 51, 1, 8
52, -61, 2, 0
112, -10, 1, 2
76, 67, 0, 8
73, -1, 3, 16
73, -2, 0, 19
45, -64, 0, 1
105, -13, 4, 9
64, -51, 1, 0
91, 52, 0, 22
50, 51, 0, 1
108, -8, 5, 11
22, -48, 0, 1
94, 57, 0, 16
66, -5, 2, 6
85, 8, 16, 18
38, -67, 0, 1
79, -66, 1, 1
84, 49, 0, 22
43, 11, 0, 1
103, 62, 0, 1
82, -61, 1, 2
87, 54, 0, 25
59, -8, 0, 2
100, -7, 19, 52
45, 57, 1, 1
64, 70, 0, 5
58, -4, 1, 2
77, 9, 4, 15
22, 73, 0, 1
75, -64, 1, 0
61, 1, 1, 4
80, 14, 22, 8
52, -48, 0, 2
112, 3, 5, 2
79, 55, 0, 8
98, 68, 0, 1
115, 8, 3, 0
82, 60, 0, 12
54, -2, 1, 1
73, 11, 5, 10
114, 12, 4, 0
67, -63, 0, 3
86, -50, 1, 3
91, 65, 0, 10
89, -45, 0, 1
75, 57, 1, 8
94, 70, 0, 3
88, -4, 7, 33
47, -42, 0, 2
107, 9, 50, 11
52, 73, 0, 1
79, -53, 0, 2
65, 12, 2, 3
63, -61, 0, 3
68, 17, 4, 3
40, -45, 3, 0
100, 6, 52, 27
86, 71, 0, 18
58, 9, 3, 1
77, 22, 17, 0
89, 76, 0, 6
61, 14, 3, 3
80, 27, 7, 19
74, -47, 2, 10
93, -34, 0, 6
79, 68, 0, 13
63, 60, 0, 3
51, -31, 0, 3
82, 73, 0, 17
54, 11, 0, 1
95, 12, 60, 5
114, 25, 5, 0
67, -50, 2, 3
53, 15, 0, 3
86, -37, 0, 6
72, 28, 13, 3
70, -45, 1, 4
89, -32, 0, 10
75, 70, 0, 4
88, 9, 23, 14
33, 73, 0, 1
107, 22, 42, 4
74, 74, 0, 9
46, 12, 0, 1
65, 25, 2, 0
63, -48, 1, 3
49, 17, 0, 1
68, 30, 10, 1
40, -32, 0, 3
81, -31, 1, 10
67, 71, 0, 6
86, 84, 0, 3
70, 76, 0, 5
83, 15, 18, 2
102, 28, 51, 19
74, -34, 0, 8
93, -21, 2, 30
60, 31, 3, 1
32, -31, 1, 0
63, 73, 0, 1
51, -18, 0, 1
95, 25, 12, 41
48, -87, 0, 1
53, 28, 0, 1
72, 41, 3, 10
56, 33, 1, 1
28, -29, 0, 1
69, -28, 0, 6
74, 87, 0, 2
113, 15, 5, 3
104, -34, 1, 8
49, 30, 0, 3
90, 31, 4, 41
62, -31, 0, 6
81, -18, 1, 17
39, -15, 0, 1
70, 89, 0, 2
83, 28, 4, 22
102, 41, 3, 22
96, -33, 1, 6
55, -71, 2, 2
60, 44, 0, 2
99, -28, 0, 3
76, -12, 0, 17
48, -74, 0, 2
92, -31, 4, 8
37, 33, 0, 1
78, 34, 0, 22
111, -18, 0, 1
97, 47, 1, 15
50, -28, 0, 2
69, -15, 0, 18
27, -12, 1, 0
113, 28, 1, 0
44, -72, 0, 3
71, 31, 7, 1
30, -7, 0, 1
90, 44, 0, 24
29, 34, 0, 1
103, -17, 4, 12
48, 47, 0, 2
106, -12, 5, 13
105, 29, 36, 6
64, -9, 1, 3
36, -71, 1, 2
96, -20, 3, 21
108, 34, 14, 0
55, -58, 0, 1
99, -15, 6, 23
44, 49, 0, 2
85, 50, 0, 19
71, -77, 1, 0
38, -25, 0, 1
57, -12, 0, 4
76, 1, 6, 12
73, -68, 0, 1
59, 34, 0, 1
78, 47, 0, 16
97, 60, 0, 6
91, -14, 5, 18
94, -9, 11, 49
66, -71, 1, 2
85, -58, 0, 1
71, 44, 0, 5
84, -17, 3, 23
103, -4, 25, 25
87, -12, 3, 18
106, 1, 28, 27
59, -74, 0, 1
45, -9, 0, 2
64, 4, 2, 6
105, 42, 1, 6
36, -58, 1, 0
77, -57, 0, 4
22, 7, 0, 1
80, -52, 0, 2
66, 50, 1, 1
85, 63, 0, 16
57, 1, 2, 2
98, 2, 32, 31
101, 7, 42, 22
54, -68, 0, 2
73, -55, 1, 1
59, 47, 1, 3
100, 48, 1, 15
31, -52, 0, 1
110, 12, 32, 4
77, 64, 0, 13
75, -9, 0, 11
94, 4, 30, 33
80, 69, 0, 12
52, 7, 0, 2
65, -54, 0, 2
68, -49, 0, 3
87, 1, 5, 18
54, 53, 0, 1
73, 66, 0, 7
86, 5, 18, 25
58, -57, 1, 1
77, -44, 2, 10
89, 10, 15, 12
42, -65, 0, 1
61, -52, 0, 4
80, -39, 0, 10
66, 63, 0, 9
79, 2, 6, 24
98, 15, 53, 23
63, -6, 0, 3
82, 7, 12, 16
101, 20, 35, 35
54, -55, 1, 2
100, 61, 0, 6
72, -38, 1, 7
58, 64, 0, 5
77, 77, 0, 7
75, 4, 4, 11
116, 5, 0, 1
61, 69, 0, 6
80, 82, 0, 6
93, 21, 8, 35
46, -54, 0, 2
65, -41, 0, 5
51, 24, 0, 1
109, 2, 18, 10
68, -36, 0, 8
67, 5, 3, 8
86, 18, 32, 5
72, 83, 0, 1
70, 10, 2, 9
58, -44, 0, 5
89, 23, 6, 38
42, -52, 0, 1
61, -39, 0, 4
102, -38, 0, 1
88, 64, 0, 17
60, -35, 0, 3
79, 15, 26, 6
65, 80, 0, 2
63, 7, 0, 1
82, 20, 24, 0
68, 85, 0, 3
95, -41, 0, 4
81, 24, 7, 15
34, -51, 0, 1
53, -38, 0, 1
72, -25, 1, 11
37, -46, 1, 0
56, -33, 0, 3
116, 18, 2, 0
88, -44, 1, 2
74, 21, 13, 0
93, 34, 3, 40
51, 37, 0, 2
49, -36, 0, 1
90, -35, 1, 8
35, 29, 0, 1
67, 18, 1, 6
26, -20, 0, 1
70, 23, 12, 0
111, 24, 14, 0
83, -38, 0, 8
28, 26, 0, 1
102, -25, 2, 9
88, 77, 0, 10
41, -35, 1, 0
60, -22, 0, 4
44, -30, 0, 1
104, 21, 60, 23
62, 24, 1, 4
81, 37, 0, 12
53, -25, 0, 2
39, 40, 0, 1
37, -33, 0, 1
56, -20, 0, 2
97, -19, 4, 20
83, 83, 0, 2
55, -16, 0, 1
74, 34, 2, 9
32, 37, 0, 2
71, -35, 0, 3
90, -22, 2, 11
35, 42, 1, 0
76, 43, 5, 14
62, -84, 0, 1
29, -32, 0, 1
48, -19, 0, 1
34, 83, 0, 1
92, 24, 11, 50
39, -68, 0, 2
83, -25, 1, 15
50, 27, 1, 2
69, 40, 9, 2
41, -22, 0, 1
85, -16, 0, 26
104, 34, 30, 9
30, 48, 1, 0
71, 86, 0, 3
57, -78, 1, 3
76, -65, 0, 1
62, 37, 4, 3
103, 38, 5, 18
106, 43, 1, 4
59, -32, 1, 4
78, -19, 1, 14
97, -6, 9, 47
50, -81, 1, 2
96, 35, 9, 44
55, -3, 0, 3
99, 40, 2, 31
71, -22, 0, 6
57, 43, 0, 2
76, 56, 0, 7
29, -19, 0, 1
48, -6, 0, 1
92, 37, 0, 47
45, -75, 0, 1
105, -24, 2, 12
64, -62, 1, 2
69, 53, 0, 5
108, -19, 1, 7
66, -16, 1, 9
85, -3, 3, 24
57, -65, 1, 1
84, 38, 0, 19
