EV, LA, Hits, Outs
0, -90, 0.0, 10.0
1, -90, 1.0, 13.0
2, -90, 1.0, 11.0
3, -90, 3.0, 11.0
4, -90, 2.0, 8.0
5, -90, 2.0, 10.0
6, -90, 1.0, 10.0
7, -90, 1.0, 9.0
8, -90, 1.0, 10.0
9, -90, 2.0, 9.0
10, -90, 1.0, 15.0
11, -90, 1.0, 13.0
12, -90, 1.0, 9.0
13, -90, 0.0, 10.0
14, -90, 0.0, 10.0
15, -90, 0.0, 12.0
16, -90, 0.0, 11.0
17, -90, 0.0, 10.0
18, -90, 0.0, 10.0
19, -90, 0.0, 11.0
20, -90, 0.0, 11.0
21, -90, 0.0, 12.0
22, -90, 0.0, 11.0
23, -90, 0.0, 11.0
24, -90, 0.0, 12.0
25, -90, 0.0, 12.0
26, -90, 0.0, 16.0
27, -90, 0.0, 16.0
28, -90, 0.0, 10.0
29, -90, 0.0, 12.0
30, -90, 0.0, 14.0
31, -90, 0.0, 14.0
32, -90, 0.0, 11.0
33, -90, 0.0, 13.0
34, -90, 0.0, 11.0
35, -90, 0.0, 13.0
36, -90, 0.0, 14.0
37, -90, 0.0, 12.0
38, -90, 0.0, 11.0
39, -90, 0.0, 12.0
40, -90, 0.0, 16.0
41, -90, 0.0, 14.0
42, -90, 0.0, 12.0
43, -90, 0.0, 15.0
44, -90, 0.0, 10.0
45, -90, 0.0, 11.0
46, -90, 0.0, 12.0
47, -90, 0.0, 12.0
48, -90, 0.0, 12.0
49, -90, 0.0, 17.0
50, -90, 0.0, 11.0
51, -90, 1.0, 12.0
52, -90, 1.0, 9.0
53, -90, 2.0, 8.0
54, -90, 1.0, 11.0
55, -90, 3.0, 8.0
56, -90, 2.0, 11.0
57, -90, 3.0, 7.0
58, -90, 2.0, 11.0
59, -90, 4.0, 13.0
60, -90, 3.0, 17.0
61, -90, 3.0, 19.0
62, -90, 2.0, 16.0
63, -90, 3.0, 8.0
64, -90, 2.0, 13.0
65, -90, 2.0, 11.0
66, -90, 1.0, 9.0
67, -90, 1.0, 9.0
68, -90, 1.0, 11.0
69, -90, 2.0, 8.0
70, -90, 1.0, 11.0
71, -90, 1.0, 10.0
72, -90, 1.0, 10.0
73, -90, 0.0, 13.0
74, -90, 2.0, 15.0
75, -90, 0.0, 13.0
76, -90, 0.0, 11.0
77, -90, 0.0, 14.0
78, -90, 2.0, 14.0
79, -90, 3.0, 11.0
80, -90, 2.0, 11.0
81, -90, 3.0, 16.0
82, -90, 2.0, 14.0
83, -90, 2.0, 11.0
84, -90, 2.0, 12.0
85, -90, 3.0, 8.0
86, -90, 4.0, 10.0
87, -90, 3.0, 9.0
88, -90, 3.0, 12.0
89, -90, 4.0, 6.0
90, -90, 4.0, 8.0
91, -90, 9.0, 14.0
92, -90, 4.0, 13.0
93, -90, 2.0, 14.0
94, -90, 2.0, 10.0
95, -90, 4.0, 9.0
96, -90, 5.0, 5.0
97, -90, 6.0, 9.0
98, -90, 5.0, 7.0
99, -90, 7.0, 7.0
100, -90, 7.0, 5.0
101, -90, 7.0, 7.0
102, -90, 5.0, 5.0
103, -90, 9.0, 8.0
104, -90, 6.0, 5.0
105, -90, 7.0, 8.0
106, -90, 5.0, 5.0
107, -90, 6.0, 7.0
108, -90, 5.0, 6.0
109, -90, 4.0, 7.0
110, -90, 5.0, 13.0
111, -90, 3.0, 9.0
112, -90, 2.0, 8.0
113, -90, 3.0, 8.0
114, -90, 2.0, 9.0
115, -90, 4.0, 11.0
