EV, LA, Hits, Outs
0, -90, 11.0, 44.0
1, -90, 10.0, 43.0
2, -90, 11.0, 47.0
3, -90, 9.0, 42.0
4, -90, 8.0, 42.0
5, -90, 10.0, 43.0
6, -90, 12.0, 52.0
7, -90, 8.0, 48.0
8, -90, 10.0, 47.0
9, -90, 8.0, 42.0
10, -90, 10.0, 42.0
11, -90, 9.0, 45.0
12, -90, 9.0, 42.0
13, -90, 9.0, 48.0
14, -90, 10.0, 42.0
15, -90, 11.0, 43.0
16, -90, 9.0, 50.0
17, -90, 9.0, 52.0
18, -90, 6.0, 45.0
19, -90, 7.0, 47.0
20, -90, 7.0, 48.0
21, -90, 7.0, 50.0
22, -90, 4.0, 47.0
23, -90, 4.0, 58.0
24, -90, 3.0, 50.0
25, -90, 7.0, 63.0
26, -90, 8.0, 56.0
27, -90, 4.0, 48.0
28, -90, 6.0, 46.0
29, -90, 6.0, 50.0
30, -90, 9.0, 64.0
31, -90, 7.0, 58.0
32, -90, 7.0, 51.0
33, -90, 7.0, 51.0
34, -90, 5.0, 51.0
35, -90, 7.0, 56.0
36, -90, 7.0, 45.0
37, -90, 6.0, 52.0
38, -90, 7.0, 60.0
39, -90, 6.0, 63.0
40, -90, 4.0, 51.0
41, -90, 5.0, 53.0
42, -90, 5.0, 60.0
43, -90, 4.0, 47.0
44, -90, 5.0, 66.0
45, -90, 5.0, 70.0
46, -90, 3.0, 50.0
47, -90, 5.0, 48.0
48, -90, 6.0, 49.0
49, -90, 5.0, 52.0
50, -90, 5.0, 57.0
51, -90, 3.0, 47.0
52, -90, 4.0, 49.0
53, -90, 4.0, 47.0
54, -90, 5.0, 45.0
55, -90, 6.0, 52.0
56, -90, 6.0, 48.0
57, -90, 9.0, 55.0
58, -90, 7.0, 52.0
59, -90, 6.0, 45.0
60, -90, 7.0, 49.0
61, -90, 7.0, 60.0
62, -90, 8.0, 50.0
63, -90, 7.0, 59.0
64, -90, 7.0, 54.0
65, -90, 5.0, 48.0
66, -90, 10.0, 59.0
67, -90, 8.0, 55.0
68, -90, 9.0, 49.0
69, -90, 9.0, 61.0
70, -90, 10.0, 56.0
71, -90, 9.0, 48.0
72, -90, 7.0, 51.0
73, -90, 8.0, 45.0
74, -90, 9.0, 42.0
75, -90, 8.0, 46.0
76, -90, 11.0, 52.0
77, -90, 13.0, 60.0
78, -90, 11.0, 48.0
79, -90, 10.0, 45.0
80, -90, 11.0, 49.0
81, -90, 10.0, 43.0
82, -90, 11.0, 50.0
83, -90, 12.0, 39.0
84, -90, 14.0, 52.0
85, -90, 14.0, 46.0
86, -90, 15.0, 48.0
87, -90, 14.0, 38.0
88, -90, 14.0, 38.0
89, -90, 14.0, 44.0
90, -90, 15.0, 38.0
91, -90, 18.0, 41.0
92, -90, 18.0, 39.0
93, -90, 18.0, 50.0
94, -90, 16.0, 34.0
95, -90, 26.0, 37.0
96, -90, 20.0, 35.0
97, -90, 22.0, 50.0
98, -90, 17.0, 39.0
99, -90, 22.0, 44.0
100, -90, 22.0, 46.0
101, -90, 20.0, 35.0
102, -90, 27.0, 41.0
103, -90, 26.0, 33.0
104, -90, 25.0, 40.0
105, -90, 28.0, 48.0
106, -90, 21.0, 44.0
107, -90, 18.0, 37.0
108, -90, 22.0, 40.0
109, -90, 17.0, 37.0
110, -90, 22.0, 40.0
111, -90, 19.0, 36.0
112, -90, 24.0, 41.0
113, -90, 18.0, 34.0
114, -90, 26.0, 38.0
115, -90, 18.0, 35.0
116, -90, 24.0, 44.0
117, -90, 22.0, 38.0
118, -90, 19.0, 32.0
119, -90, 23.0, 39.0
120, -90, 20.0, 33.0
121, -90, 22.0, 41.0
122, -90, 20.0, 44.0
0, -89, 12.0, 45.0
1, -89, 11.0, 44.0
2, -89, 10.0, 43.0
3, -89, 11.0, 47.0
4, -89, 9.0, 42.0
5, -89, 8.0, 42.0
6, -89, 10.0, 43.0
7, -89, 12.0, 52.0
8, -89, 8.0, 48.0
9, -89, 10.0, 47.0
10, -89, 8.0, 42.0
11, -89, 10.0, 42.0
12, -89, 9.0, 45.0
13, -89, 9.0, 42.0
14, -89, 9.0, 48.0
15, -89, 10.0, 42.0
16, -89, 11.0, 43.0
17, -89, 9.0, 50.0
18, -89, 9.0, 52.0
19, -89, 6.0, 45.0
20, -89, 7.0, 47.0
21, -89, 7.0, 48.0
22, -89, 7.0, 51.0
23, -89, 4.0, 48.0
24, -89, 4.0, 57.0
25, -89, 3.0, 50.0
26, -89, 7.0, 63.0
27, -89, 8.0, 57.0
28, -89, 4.0, 47.0
29, -89, 6.0, 44.0
30, -89, 6.0, 50.0
31, -89, 9.0, 64.0
32, -89, 7.0, 58.0
33, -89, 7.0, 51.0
34, -89, 7.0, 49.0
35, -89, 5.0, 48.0
36, -89, 7.0, 53.0
37, -89, 7.0, 46.0
38, -89, 6.0, 52.0
39, -89, 7.0, 60.0
40, -89, 6.0, 63.0
41, -89, 4.0, 53.0
42, -89, 5.0, 53.0
43, -89, 5.0, 57.0
44, -89, 6.0, 65.0
45, -89, 5.0, 62.0
46, -89, 5.0, 64.0
47, -89, 7.0, 66.0
48, -89, 7.0, 66.0
49, -89, 6.0, 49.0
50, -89, 6.0, 54.0
51, -89, 5.0, 57.0
52, -89, 4.0, 56.0
53, -89, 4.0, 60.0
54, -89, 4.0, 51.0
55, -89, 4.0, 46.0
56, -89, 7.0, 50.0
57, -89, 7.0, 50.0
58, -89, 9.0, 65.0
59, -89, 7.0, 63.0
60, -89, 7.0, 59.0
61, -89, 9.0, 47.0
62, -89, 7.0, 55.0
63, -89, 7.0, 59.0
64, -89, 5.0, 50.0
65, -89, 11.0, 59.0
66, -89, 8.0, 55.0
67, -89, 9.0, 49.0
68, -89, 9.0, 61.0
69, -89, 10.0, 56.0
70, -89, 9.0, 48.0
71, -89, 7.0, 51.0
72, -89, 8.0, 45.0
73, -89, 9.0, 42.0
74, -89, 8.0, 46.0
75, -89, 11.0, 52.0
76, -89, 13.0, 60.0
77, -89, 11.0, 48.0
78, -89, 10.0, 45.0
79, -89, 11.0, 49.0
80, -89, 10.0, 43.0
81, -89, 11.0, 50.0
82, -89, 12.0, 39.0
83, -89, 14.0, 52.0
84, -89, 14.0, 46.0
85, -89, 15.0, 48.0
86, -89, 14.0, 38.0
87, -89, 14.0, 38.0
88, -89, 14.0, 44.0
89, -89, 15.0, 38.0
90, -89, 18.0, 41.0
91, -89, 18.0, 39.0
92, -89, 18.0, 50.0
93, -89, 16.0, 34.0
94, -89, 26.0, 37.0
95, -89, 20.0, 35.0
96, -89, 22.0, 50.0
97, -89, 17.0, 39.0
98, -89, 22.0, 44.0
99, -89, 22.0, 46.0
100, -89, 20.0, 35.0
101, -89, 27.0, 41.0
102, -89, 26.0, 33.0
103, -89, 25.0, 40.0
104, -89, 28.0, 48.0
105, -89, 21.0, 44.0
106, -89, 18.0, 37.0
107, -89, 22.0, 40.0
108, -89, 17.0, 37.0
109, -89, 22.0, 40.0
110, -89, 19.0, 36.0
111, -89, 24.0, 41.0
112, -89, 18.0, 34.0
113, -89, 26.0, 38.0
114, -89, 18.0, 35.0
115, -89, 24.0, 44.0
116, -89, 22.0, 38.0
117, -89, 19.0, 32.0
118, -89, 23.0, 39.0
119, -89, 20.0, 33.0
120, -89, 22.0, 41.0
121, -89, 20.0, 44.0
122, -89, 16.0, 35.0
0, -88, 13.0, 38.0
1, -88, 12.0, 45.0
2, -88, 11.0, 44.0
3, -88, 10.0, 43.0
4, -88, 11.0, 47.0
5, -88, 9.0, 42.0
6, -88, 8.0, 42.0
7, -88, 10.0, 43.0
8, -88, 12.0, 52.0
9, -88, 8.0, 48.0
10, -88, 10.0, 47.0
11, -88, 8.0, 42.0
12, -88, 10.0, 42.0
13, -88, 9.0, 45.0
14, -88, 9.0, 42.0
15, -88, 9.0, 48.0
16, -88, 10.0, 42.0
17, -88, 11.0, 43.0
18, -88, 9.0, 50.0
19, -88, 9.0, 52.0
20, -88, 6.0, 45.0
21, -88, 7.0, 48.0
22, -88, 7.0, 49.0
23, -88, 7.0, 50.0
24, -88, 4.0, 46.0
25, -88, 4.0, 57.0
26, -88, 3.0, 51.0
27, -88, 7.0, 63.0
28, -88, 8.0, 54.0
29, -88, 4.0, 47.0
30, -88, 6.0, 44.0
31, -88, 6.0, 51.0
32, -88, 9.0, 64.0
33, -88, 7.0, 56.0
34, -88, 7.0, 50.0
35, -88, 7.0, 47.0
36, -88, 5.0, 48.0
37, -88, 7.0, 54.0
38, -88, 7.0, 46.0
39, -88, 6.0, 52.0
40, -88, 7.0, 60.0
41, -88, 6.0, 60.0
42, -88, 4.0, 50.0
43, -88, 5.0, 53.0
44, -88, 5.0, 53.0
45, -88, 6.0, 59.0
46, -88, 5.0, 57.0
47, -88, 5.0, 57.0
48, -88, 7.0, 65.0
49, -88, 6.0, 46.0
50, -88, 6.0, 47.0
51, -88, 3.0, 49.0
52, -88, 3.0, 52.0
53, -88, 4.0, 49.0
54, -88, 5.0, 51.0
55, -88, 5.0, 49.0
56, -88, 5.0, 45.0
57, -88, 7.0, 58.0
58, -88, 9.0, 61.0
59, -88, 8.0, 54.0
60, -88, 9.0, 58.0
61, -88, 7.0, 54.0
62, -88, 8.0, 55.0
63, -88, 5.0, 46.0
64, -88, 5.0, 47.0
65, -88, 7.0, 57.0
66, -88, 10.0, 49.0
67, -88, 9.0, 61.0
68, -88, 10.0, 56.0
69, -88, 9.0, 48.0
70, -88, 7.0, 51.0
71, -88, 8.0, 45.0
72, -88, 9.0, 42.0
73, -88, 8.0, 46.0
74, -88, 11.0, 52.0
75, -88, 13.0, 60.0
76, -88, 11.0, 48.0
77, -88, 10.0, 45.0
78, -88, 11.0, 49.0
79, -88, 10.0, 43.0
80, -88, 11.0, 50.0
81, -88, 12.0, 39.0
82, -88, 14.0, 52.0
83, -88, 14.0, 46.0
84, -88, 15.0, 48.0
85, -88, 14.0, 38.0
86, -88, 14.0, 38.0
87, -88, 14.0, 44.0
88, -88, 15.0, 38.0
89, -88, 18.0, 41.0
90, -88, 18.0, 39.0
91, -88, 18.0, 50.0
92, -88, 16.0, 34.0
93, -88, 26.0, 37.0
94, -88, 20.0, 35.0
95, -88, 22.0, 50.0
96, -88, 17.0, 39.0
97, -88, 22.0, 44.0
98, -88, 22.0, 46.0
99, -88, 20.0, 35.0
100, -88, 27.0, 41.0
101, -88, 26.0, 33.0
102, -88, 25.0, 40.0
103, -88, 28.0, 48.0
104, -88, 21.0, 44.0
105, -88, 18.0, 37.0
106, -88, 22.0, 40.0
107, -88, 17.0, 37.0
108, -88, 22.0, 40.0
109, -88, 19.0, 36.0
110, -88, 24.0, 41.0
111, -88, 18.0, 34.0
112, -88, 26.0, 38.0
113, -88, 18.0, 35.0
114, -88, 24.0, 44.0
115, -88, 22.0, 38.0
116, -88, 19.0, 32.0
117, -88, 23.0, 39.0
118, -88, 20.0, 33.0
119, -88, 22.0, 41.0
120, -88, 20.0, 44.0
121, -88, 16.0, 35.0
122, -88, 18.0, 46.0
0, -87, 16.0, 40.0
1, -87, 13.0, 38.0
2, -87, 12.0, 45.0
3, -87, 11.0, 44.0
4, -87, 10.0, 43.0
5, -87, 11.0, 47.0
6, -87, 9.0, 42.0
7, -87, 8.0, 42.0
8, -87, 10.0, 43.0
9, -87, 12.0, 52.0
10, -87, 8.0, 48.0
11, -87, 10.0, 47.0
12, -87, 8.0, 42.0
13, -87, 10.0, 42.0
14, -87, 9.0, 45.0
15, -87, 9.0, 42.0
16, -87, 9.0, 48.0
17, -87, 10.0, 42.0
18, -87, 11.0, 43.0
19, -87, 9.0, 50.0
20, -87, 9.0, 53.0
21, -87, 6.0, 44.0
22, -87, 7.0, 47.0
23, -87, 7.0, 49.0
24, -87, 7.0, 50.0
25, -87, 4.0, 47.0
26, -87, 4.0, 57.0
27, -87, 3.0, 48.0
28, -87, 7.0, 62.0
29, -87, 8.0, 54.0
30, -87, 4.0, 48.0
31, -87, 6.0, 44.0
32, -87, 6.0, 49.0
33, -87, 9.0, 62.0
34, -87, 7.0, 56.0
35, -87, 7.0, 48.0
36, -87, 7.0, 47.0
37, -87, 5.0, 47.0
38, -87, 7.0, 54.0
39, -87, 7.0, 46.0
40, -87, 6.0, 49.0
41, -87, 7.0, 56.0
42, -87, 6.0, 61.0
43, -87, 4.0, 46.0
44, -87, 5.0, 47.0
45, -87, 5.0, 48.0
46, -87, 6.0, 52.0
47, -87, 5.0, 54.0
48, -87, 6.0, 59.0
49, -87, 8.0, 62.0
50, -87, 6.0, 71.0
51, -87, 7.0, 60.0
52, -87, 5.0, 65.0
53, -87, 4.0, 47.0
54, -87, 5.0, 45.0
55, -87, 4.0, 47.0
56, -87, 4.0, 53.0
57, -87, 5.0, 56.0
58, -87, 6.0, 47.0
59, -87, 9.0, 54.0
60, -87, 8.0, 49.0
61, -87, 7.0, 49.0
62, -87, 5.0, 45.0
63, -87, 10.0, 58.0
64, -87, 7.0, 53.0
65, -87, 8.0, 56.0
66, -87, 9.0, 63.0
67, -87, 11.0, 56.0
68, -87, 9.0, 48.0
69, -87, 7.0, 51.0
70, -87, 8.0, 45.0
71, -87, 9.0, 42.0
72, -87, 8.0, 46.0
73, -87, 11.0, 52.0
74, -87, 13.0, 60.0
75, -87, 11.0, 48.0
76, -87, 10.0, 45.0
77, -87, 11.0, 49.0
78, -87, 10.0, 43.0
79, -87, 11.0, 50.0
80, -87, 12.0, 39.0
81, -87, 14.0, 52.0
82, -87, 14.0, 46.0
83, -87, 15.0, 48.0
84, -87, 14.0, 38.0
85, -87, 14.0, 38.0
86, -87, 14.0, 44.0
87, -87, 15.0, 38.0
88, -87, 18.0, 41.0
89, -87, 18.0, 39.0
90, -87, 18.0, 50.0
91, -87, 16.0, 34.0
92, -87, 26.0, 37.0
93, -87, 20.0, 35.0
94, -87, 22.0, 50.0
95, -87, 17.0, 39.0
96, -87, 22.0, 44.0
97, -87, 22.0, 46.0
98, -87, 20.0, 35.0
99, -87, 27.0, 41.0
100, -87, 26.0, 33.0
101, -87, 25.0, 40.0
102, -87, 28.0, 48.0
103, -87, 21.0, 44.0
104, -87, 18.0, 37.0
105, -87, 22.0, 40.0
106, -87, 17.0, 37.0
107, -87, 22.0, 40.0
108, -87, 19.0, 36.0
109, -87, 24.0, 41.0
110, -87, 18.0, 34.0
111, -87, 26.0, 38.0
112, -87, 18.0, 35.0
113, -87, 24.0, 44.0
114, -87, 22.0, 38.0
115, -87, 19.0, 32.0
116, -87, 23.0, 39.0
117, -87, 20.0, 33.0
118, -87, 22.0, 41.0
119, -87, 20.0, 44.0
120, -87, 16.0, 35.0
121, -87, 18.0, 46.0
122, -87, 16.0, 35.0
0, -86, 16.0, 43.0
1, -86, 16.0, 40.0
2, -86, 13.0, 38.0
3, -86, 12.0, 45.0
4, -86, 11.0, 44.0
5, -86, 10.0, 43.0
6, -86, 11.0, 47.0
7, -86, 9.0, 42.0
8, -86, 8.0, 42.0
