EV, LA, Hits, Outs
113, 26, 2, 0
25, -87, 0, 1
44, -74, 0, 1
71, 29, 12, 2
90, 42, 0, 38
62, -20, 0, 8
103, -19, 1, 17
106, -14, 2, 12
83, 39, 0, 19
96, -22, 0, 22
55, -60, 0, 1
41, 42, 0, 1
99, -17, 6, 15
85, 48, 0, 31
57, -14, 0, 4
29, -76, 0, 1
48, -63, 2, 0
92, -20, 2, 22
18, -6, 0, 2
78, 45, 4, 18
59, 32, 0, 2
97, 58, 0, 10
50, -17, 0, 3
69, -4, 1, 7
110, -3, 5, 13
36, 48, 0, 2
55, 61, 0, 1
66, -73, 2, 2
71, 42, 2, 6
84, -19, 2, 13
43, -57, 0, 2
103, -6, 14, 40
87, -14, 1, 18
59, -76, 0, 2
45, -11, 0, 1
105, 40, 5, 2
64, 2, 0, 6
77, -59, 0, 4
108, 45, 0, 1
80, -54, 0, 1
66, 48, 3, 1
85, 61, 0, 13
101, 5, 41, 19
54, -70, 0, 1
73, -57, 0, 2
59, 45, 1, 0
78, 58, 1, 17
17, 48, 0, 1
91, -3, 6, 24
110, 10, 18, 4
75, -11, 4, 21
94, 2, 26, 26
66, -60, 0, 1
52, 5, 0, 1
84, -6, 5, 27
73, 64, 0, 13
45, 2, 0, 1
64, 15, 1, 5
58, -59, 1, 5
77, -46, 0, 3
61, -54, 1, 7
80, -41, 1, 5
66, 61, 0, 2
24, 64, 1, 0
98, 13, 67, 7
82, 5, 12, 17
101, 18, 25, 38
54, -57, 1, 5
73, -44, 2, 2
100, 59, 0, 5
72, -40, 0, 6
58, 62, 0, 1
77, 75, 0, 14
75, 2, 3, 15
94, 15, 45, 8
61, 67, 0, 5
80, 80, 0, 6
88, -59, 1, 0
52, 18, 1, 1
93, 19, 13, 29
65, -43, 1, 6
49, -51, 1, 1
68, -38, 0, 7
54, 64, 0, 1
73, 77, 0, 4
67, 3, 2, 8
26, -35, 0, 1
86, 16, 41, 0
31, 80, 0, 1
70, 8, 4, 14
58, -46, 3, 4
89, 21, 11, 21
42, -54, 1, 0
61, -41, 0, 4
102, -40, 0, 2
47, 24, 1, 0
88, 62, 0, 15
79, 13, 13, 10
65, 78, 0, 3
63, 5, 1, 3
82, 18, 23, 1
68, 83, 0, 3
72, -27, 0, 4
56, -35, 0, 6
42, 67, 0, 1
116, 16, 1, 1
61, 80, 0, 1
88, -46, 0, 7
74, 19, 17, 2
93, 32, 2, 44
46, -43, 2, 0
32, 22, 1, 1
65, -30, 0, 3
51, 35, 0, 3
109, 13, 31, 7
68, -25, 0, 11
67, 16, 5, 6
86, 29, 3, 33
39, -83, 0, 2
70, 21, 9, 1
89, 34, 0, 27
42, -41, 0, 2
83, -40, 0, 13
9, 11, 0, 1
102, -27, 2, 8
88, 75, 0, 9
60, -24, 0, 5
