EV, LA, Hits, Outs
113, 26, 1, 0
44, -74, 0, 1
71, 29, 2, 0
30, -9, 0, 1
90, 42, 0, 19
62, -20, 0, 2
103, -19, 1, 3
106, -14, 2, 4
83, 39, 0, 7
55, -60, 0, 1
96, -22, 0, 6
99, -17, 0, 5
85, 48, 0, 2
48, -63, 1, 0
92, -20, 1, 11
18, -6, 0, 1
78, 45, 1, 5
97, 58, 0, 2
50, -17, 0, 2
69, -4, 0, 3
110, -3, 0, 1
71, 42, 0, 3
84, -19, 2, 7
43, -57, 1, 1
103, -6, 4, 14
48, 58, 0, 1
87, -14, 0, 3
59, -76, 2, 0
78, -63, 0, 1
105, 40, 1, 3
64, 2, 0, 1
77, -59, 0, 1
80, -54, 0, 1
66, 48, 0, 2
85, 61, 1, 6
101, 5, 9, 12
73, -57, 0, 1
78, 58, 1, 8
91, -3, 3, 8
110, 10, 7, 1
75, -11, 0, 5
94, 2, 9, 10
66, -60, 1, 1
84, -6, 1, 9
43, -44, 0, 1
64, 15, 1, 0
77, -46, 1, 1
80, -41, 0, 1
66, 61, 0, 2
98, 13, 28, 2
82, 5, 6, 4
101, 18, 5, 20
54, -57, 0, 1
72, -40, 0, 2
58, 62, 0, 1
77, 75, 0, 2
75, 2, 1, 5
94, 15, 16, 2
61, 67, 0, 1
80, 80, 0, 2
93, 19, 9, 12
68, -38, 0, 4
73, 77, 0, 3
67, 3, 0, 2
86, 16, 18, 0
70, 8, 1, 4
58, -46, 0, 1
89, 21, 4, 6
42, -54, 0, 2
61, -41, 0, 1
88, 62, 0, 8
79, 13, 5, 3
65, 78, 0, 1
63, 5, 0, 2
51, -86, 0, 1
82, 18, 14, 1
68, 83, 0, 1
40, 21, 1, 0
72, -27, 0, 2
42, 67, 0, 1
116, 16, 2, 0
47, -84, 1, 0
74, 19, 5, 0
19, 83, 0, 1
93, 32, 3, 12
65, -30, 0, 2
51, 35, 0, 1
49, -38, 0, 1
109, 13, 9, 3
68, -25, 0, 6
67, 16, 1, 2
86, 29, 2, 9
70, 21, 2, 0
89, 34, 0, 14
83, -40, 0, 2
88, 75, 0, 6
60, -24, 2, 1
32, -86, 0, 1
63, 18, 1, 0
104, 19, 24, 7
62, 22, 1, 0
95, -30, 0, 3
81, 35, 0, 5
34, -40, 0, 1
53, -27, 1, 2
97, -21, 0, 7
83, 81, 0, 1
74, 32, 0, 1
71, -37, 0, 7
90, -24, 0, 12
92, 22, 3, 11
83, -27, 1, 1
60, -11, 1, 3
44, -19, 0, 3
104, 32, 15, 3
57, -80, 0, 1
76, -67, 0, 1
62, 35, 1, 1
81, 48, 0, 8
34, -27, 0, 1
78, -21, 0, 4
97, -8, 7, 12
96, 33, 7, 19
55, -5, 0, 2
99, 38, 1, 17
71, -24, 0, 5
90, -11, 4, 7
76, 54, 0, 2
92, 35, 0, 16
105, -26, 0, 3
64, -64, 0, 1
69, 51, 0, 2
108, -21, 1, 3
66, -18, 1, 6
85, -5, 0, 6
57, -67, 0, 1
84, 36, 0, 13
103, 49, 0, 3
87, 41, 0, 14
78, -8, 0, 7
64, 57, 0, 5
36, -5, 0, 2
96, 46, 0, 8
99, 51, 0, 3
38, 41, 0, 1
57, 54, 0, 3
76, 67, 0, 2
73, -1, 2, 7
73, -2, 0, 5
64, -51, 2, 2
105, -13, 3, 2
91, 52, 0, 4
108, -8, 1, 5
94, 57, 0, 6
66, -5, 0, 2
85, 8, 7, 8
84, 49, 0, 12
87, 54, 0, 8
100, -7, 4, 26
17, -5, 1, 0
58, -4, 0, 4
77, 9, 4, 6
75, -64, 0, 1
61, 1, 0, 4
94, -51, 0, 1
80, 14, 7, 2
112, 3, 2, 3
79, 55, 0, 8
82, 60, 0, 5
54, -1, 0, 1
73, 11, 0, 7
91, 65, 0, 6
89, -45, 0, 1
75, 57, 0, 2
88, -4, 1, 9
107, 9, 15, 4
79, -53, 2, 1
24, 11, 0, 1
65, 12, 0, 1
82, -48, 0, 3
68, 17, 2, 2
40, -45, 0, 1
100, 6, 18, 24
86, 71, 0, 6
58, 9, 0, 1
77, 22, 4, 0
80, 27, 3, 2
93, -34, 0, 2
79, 68, 0, 5
63, 60, 0, 1
51, -31, 1, 2
82, 73, 0, 4
95, 12, 17, 1
114, 25, 2, 0
86, -37, 0, 4
72, 28, 4, 1
89, -32, 0, 6
75, 70, 0, 3
88, 9, 11, 6
47, -29, 0, 1
107, 22, 22, 1
74, 74, 0, 5
65, 25, 2, 1
63, -48, 0, 3
68, 30, 3, 0
81, -31, 1, 3
86, 84, 0, 1
70, 76, 0, 1
83, 15, 14, 0
102, 28, 18, 5
74, -34, 0, 5
60, 31, 3, 1
93, -21, 2, 6
95, 25, 4, 22
53, 28, 0, 1
72, 41, 0, 1
56, 33, 0, 3
28, -29, 1, 0
69, -28, 0, 5
113, 15, 3, 0
60, -77, 0, 1
104, -34, 0, 1
90, 31, 0, 19
62, -31, 0, 3
81, -18, 0, 9
67, 84, 0, 1
39, -15, 1, 0
83, 28, 2, 5
102, 41, 1, 7
96, -33, 0, 4
60, 44, 0, 1
117, 26, 2, 0
62, 90, 0, 1
76, -12, 0, 5
48, -74, 0, 1
92, -31, 0, 2
78, 34, 2, 8
111, -18, 1, 0
97, 47, 0, 8
69, -15, 0, 4
55, 50, 0, 1
27, -12, 1, 0
113, 28, 1, 0
44, -72, 0, 1
71, 31, 2, 0
90, 44, 1, 16
103, -17, 1, 7
106, -12, 1, 2
105, 29, 18, 0
64, -9, 0, 2
108, 34, 8, 1
96, -20, 1, 7
41, 44, 1, 0
55, -58, 0, 2
99, -15, 2, 4
85, 50, 0, 5
71, -77, 0, 1
57, -12, 0, 1
76, 1, 1, 3
59, 34, 1, 0
78, 47, 2, 5
97, 60, 0, 2
50, -15, 0, 1
91, -14, 0, 7
94, -9, 4, 22
66, -71, 0, 1
71, 44, 4, 5
84, -17, 2, 14
103, -4, 7, 15
87, -12, 2, 16
106, 1, 13, 12
59, -74, 0, 1
64, 4, 1, 1
105, 42, 0, 4
36, -58, 1, 1
77, -57, 0, 2
108, 47, 0, 1
85, 63, 0, 4
