EV, LA, Hits, Outs
113, 26, 2, 0
44, -74, 0, 1
71, 29, 7, 3
90, 42, 0, 36
62, -20, 0, 5
103, -19, 2, 4
106, -14, 2, 7
39, -4, 0, 1
83, 39, 0, 23
55, -60, 2, 1
96, -22, 1, 18
99, -17, 1, 14
85, 48, 0, 26
48, -63, 0, 1
92, -20, 3, 23
59, 32, 0, 4
78, 45, 1, 12
97, 58, 0, 5
50, -17, 0, 3
69, -4, 0, 9
110, -3, 6, 4
71, 42, 1, 6
84, -19, 4, 22
43, -57, 2, 0
103, -6, 13, 21
87, -14, 3, 17
45, -11, 0, 1
105, 40, 4, 3
64, 2, 0, 3
36, -60, 0, 1
66, 48, 1, 2
85, 61, 0, 10
38, -14, 0, 1
101, 5, 35, 21
54, -70, 1, 0
59, 45, 0, 1
78, 58, 0, 16
91, -3, 6, 25
110, 10, 17, 2
75, -11, 4, 12
94, 2, 32, 43
66, -60, 1, 0
84, -6, 5, 19
43, -44, 1, 3
54, 51, 0, 2
73, 64, 0, 8
64, 15, 0, 7
77, -46, 1, 0
61, -54, 0, 2
80, -41, 0, 4
66, 61, 0, 1
98, 13, 84, 9
82, 5, 8, 15
101, 18, 38, 44
54, -57, 0, 1
40, 8, 1, 0
73, -44, 0, 5
100, 59, 0, 4
72, -40, 1, 6
58, 62, 0, 1
77, 75, 0, 3
75, 2, 2, 13
94, 15, 41, 16
80, 80, 0, 1
52, 18, 0, 3
93, 19, 22, 21
46, -56, 2, 2
65, -43, 0, 6
49, -51, 0, 1
68, -38, 1, 8
73, 77, 0, 1
67, 3, 1, 5
86, 16, 30, 6
70, 8, 4, 12
58, -46, 0, 5
89, 21, 11, 32
42, -54, 0, 1
61, -41, 0, 5
88, 62, 0, 11
79, 13, 13, 12
65, 78, 0, 2
63, 5, 0, 2
82, 18, 33, 1
40, 21, 0, 1
53, -40, 1, 2
72, -27, 2, 10
56, -35, 0, 17
116, 16, 1, 0
88, -46, 0, 1
74, 19, 20, 1
93, 32, 9, 39
46, -43, 1, 0
65, -30, 0, 15
32, 22, 0, 2
49, -38, 1, 1
109, 13, 13, 9
35, 27, 1, 1
68, -25, 1, 18
67, 16, 1, 5
86, 29, 3, 38
70, 21, 5, 0
89, 34, 0, 34
42, -41, 0, 3
102, -27, 1, 4
88, 75, 0, 3
47, 37, 0, 1
41, -37, 0, 2
60, -24, 0, 8
44, -32, 0, 1
63, 18, 5, 1
104, 19, 67, 20
49, 83, 0, 1
62, 22, 4, 7
95, -30, 1, 3
81, 35, 1, 28
34, -40, 0, 2
53, -27, 1, 4
37, -35, 0, 1
56, -22, 3, 9
97, -21, 0, 17
83, 81, 0, 1
74, 32, 4, 14
51, 48, 0, 1
71, -37, 0, 7
90, -24, 2, 21
48, -21, 0, 1
92, 22, 13, 48
111, 35, 1, 0
83, -27, 2, 16
69, 38, 1, 8
60, -11, 2, 2
44, -19, 0, 1
104, 32, 32, 11
62, 35, 2, 1
81, 48, 1, 19
34, -27, 0, 1
37, -22, 1, 0
78, -21, 0, 24
97, -8, 6, 19
36, -18, 0, 1
96, 33, 21, 50
55, -5, 1, 2
99, 38, 2, 26
71, -24, 0, 13
90, -11, 2, 18
57, 41, 0, 3
76, 54, 1, 12
48, -8, 0, 1
92, 35, 7, 39
105, -26, 0, 2
50, 38, 0, 2
69, 51, 1, 6
108, -21, 0, 1
66, -18, 2, 8
85, -5, 5, 13
84, 36, 0, 33
103, 49, 0, 1
87, 41, 0, 24
59, -21, 0, 7
78, -8, 2, 9
64, 57, 0, 2
55, 8, 0, 2
96, 46, 0, 30
99, 51, 0, 10
52, -61, 0, 1
112, -10, 0, 3
57, 54, 0, 1
76, 67, 0, 3
73, -1, 0, 9
73, -2, 0, 3
45, -64, 0, 1
105, -13, 1, 11
64, -51, 0, 3
91, 52, 0, 12
50, 51, 0, 1
108, -8, 8, 8
94, 57, 1, 15
66, -5, 0, 7
85, 8, 11, 23
84, 49, 0, 26
87, 54, 0, 22
59, -8, 0, 3
100, -7, 20, 28
45, 57, 0, 1
64, 70, 0, 2
58, -4, 0, 2
77, 9, 3, 10
61, 1, 1, 3
80, 14, 28, 4
52, -48, 0, 1
112, 3, 6, 6
79, 55, 0, 8
98, 68, 0, 2
115, 8, 1, 1
82, 60, 0, 17
54, -2, 0, 3
54, -1, 0, 1
73, 11, 3, 4
114, 12, 2, 0
91, 65, 0, 4
75, 57, 0, 10
88, -4, 6, 22
47, -42, 0, 4
107, 9, 35, 4
65, 12, 2, 5
63, -61, 1, 0
68, 17, 2, 6
40, -45, 1, 2
100, 6, 54, 35
86, 71, 0, 2
58, 9, 1, 1
77, 22, 22, 2
42, 1, 0, 1
61, 14, 1, 2
80, 27, 6, 24
74, -47, 1, 1
93, -34, 0, 3
79, 68, 0, 7
63, 60, 0, 2
51, -31, 0, 5
54, 11, 0, 3
95, 12, 51, 2
114, 25, 5, 0
67, -50, 0, 1
53, 15, 1, 2
86, -37, 0, 5
72, 28, 10, 6
70, -45, 0, 4
89, -32, 0, 5
75, 70, 0, 3
88, 9, 23, 18
47, -29, 1, 2
107, 22, 35, 0
74, 74, 0, 2
46, 12, 0, 2
65, 25, 3, 1
63, -48, 0, 3
49, 17, 0, 1
68, 30, 6, 0
40, -32, 0, 1
81, -31, 1, 9
67, 71, 0, 1
70, 76, 0, 2
83, 15, 28, 3
102, 28, 57, 9
74, -34, 0, 8
93, -21, 4, 16
60, 31, 4, 2
63, 73, 0, 1
35, -26, 2, 1
95, 25, 14, 37
53, 28, 1, 1
72, 41, 4, 11
37, 20, 0, 2
56, 33, 4, 5
69, -28, 0, 8
74, 87, 0, 3
113, 15, 9, 1
49, 30, 0, 3
90, 31, 4, 38
62, -31, 0, 4
81, -18, 1, 17
67, 84, 0, 1
39, -15, 0, 1
83, 28, 2, 27
102, 41, 3, 13
96, -33, 1, 2
41, 31, 0, 1
60, 44, 3, 4
99, -28, 1, 7
44, 36, 0, 1
35, -13, 0, 2
76, -12, 0, 14
62, 90, 0, 1
92, -31, 1, 5
78, 34, 1, 10
111, -18, 0, 1
97, 47, 1, 17
50, -28, 0, 3
69, -15, 1, 10
41, -77, 0, 1
113, 28, 4, 0
71, 31, 4, 1
90, 44, 0, 34
103, -17, 2, 10
48, 47, 0, 1
122, -4, 1, 0
106, -12, 5, 11
105, 29, 25, 0
64, -9, 0, 6
108, 34, 7, 0
55, -58, 2, 2
96, -20, 3, 21
99, -15, 2, 16
85, 50, 0, 18
38, -25, 0, 1
57, -12, 0, 2
76, 1, 5, 16
59, 34, 0, 2
78, 47, 1, 19
97, 60, 0, 4
50, -15, 0, 1
91, -14, 2, 22
94, -9, 9, 20
71, 44, 1, 7
84, -17, 1, 14
103, -4, 17, 26
87, -12, 2, 16
106, 1, 37, 24
64, 4, 2, 4
105, 42, 0, 2
66, 50, 0, 4
85, 63, 0, 11
38, -12, 0, 1
57, 1, 1, 1
98, 2, 41, 36
101, 7, 41, 25
73, -55, 1, 2
59, 47, 0, 1
100, 48, 0, 8
110, 12, 25, 5
77, 64, 0, 4
75, -9, 2, 5
94, 4, 27, 30
80, 69, 0, 7
52, 7, 0, 2
65, -54, 1, 2
87, 1, 10, 21
54, 53, 0, 1
73, 66, 0, 2
45, 4, 0, 1
86, 5, 14, 11
58, -57, 0, 2
89, 10, 34, 17
77, -44, 1, 1
42, -65, 0, 1
61, -52, 0, 2
80, -39, 0, 2
66, 63, 0, 3
79, 2, 4, 16
98, 15, 47, 26
63, -6, 0, 3
82, 7, 10, 16
101, 20, 37, 38
54, -55, 3, 4
100, 61, 0, 2
72, -38, 0, 6
77, 77, 0, 2
75, 4, 3, 14
116, 5, 3, 1
93, 21, 18, 38
46, -54, 2, 2
65, -41, 0, 4
49, -49, 1, 2
109, 2, 15, 12
68, -36, 0, 14
54, 66, 0, 1
67, 5, 0, 6
86, 18, 25, 8
72, 83, 0, 2
70, 10, 4, 9
58, -44, 0, 7
89, 23, 7, 31
42, -52, 0, 5
61, -39, 1, 6
88, 64, 0, 7
60, -35, 1, 7
79, 15, 17, 1
65, 80, 0, 1
63, 7, 0, 4
82, 20, 30, 5
40, 23, 0, 2
81, 24, 3, 16
53, -38, 2, 3
72, -25, 2, 15
37, -46, 0, 2
56, -33, 0, 9
74, 21, 18, 1
93, 34, 8, 43
46, -41, 1, 6
51, 37, 0, 2
49, -36, 0, 5
90, -35, 0, 2
95, 80, 0, 2
67, 18, 4, 3
53, 83, 0, 1
70, 23, 14, 0
111, 24, 7, 0
83, -38, 1, 3
102, -25, 1, 4
88, 77, 0, 2
47, 39, 0, 1
41, -35, 1, 1
60, -22, 1, 3
44, -30, 1, 2
104, 21, 64, 10
62, 24, 4, 6
81, 37, 0, 16
53, -25, 0, 5
37, -33, 0, 3
56, -20, 0, 2
97, -19, 5, 18
83, 83, 0, 2
55, -16, 0, 5
74, 34, 3, 15
71, -35, 2, 9
30, -73, 0, 1
90, -22, 4, 16
76, 43, 0, 9
48, -19, 0, 3
92, 24, 9, 45
111, 37, 1, 0
83, -25, 1, 12
69, 40, 5, 5
44, -17, 1, 0
85, -16, 0, 14
104, 34, 15, 3
71, 86, 0, 2
62, 37, 3, 3
103, 38, 3, 6
106, 43, 0, 2
39, 53, 0, 1
59, -32, 0, 10
78, -19, 0, 13
97, -6, 15, 34
50, -81, 0, 1
96, 35, 16, 54
55, -3, 0, 3
99, 40, 5, 18
71, -22, 0, 16
57, 43, 1, 3
76, 56, 0, 6
48, -6, 0, 2
92, 37, 1, 39
45, -75, 0, 3
105, -24, 1, 0
64, -62, 0, 1
50, 40, 0, 2
69, 53, 2, 5
108, -19, 1, 2
66, -16, 0, 14
85, -3, 5, 18
38, -78, 1, 0
84, 38, 1, 28
103, 51, 0, 1
87, 43, 0, 25
59, -19, 0, 5
78, -6, 1, 9
45, 46, 0, 1
64, 59, 0, 2
17, -16, 0, 1
77, -1, 3, 17
77, -2, 0, 16
96, 48, 0, 16
99, 53, 0, 6
112, -8, 1, 0
57, 56, 0, 3
98, 57, 1, 12
115, -3, 2, 1
101, 62, 0, 1
54, -13, 1, 1
45, -62, 0, 3
105, -11, 7, 14
31, 3, 1, 0
91, 54, 0, 13
64, -49, 0, 2
